seed,condition,label,score_manifold,score_naive
42,clean,0,4.082579537320695,7.472456238170075
42,clean,0,4.060177798945463,6.89720341532936
42,clean,0,3.810682641023076,7.546732744171727
42,clean,0,3.4089070146251954,7.1294177028382295
42,clean,0,3.2882892365554586,7.111879059755203
42,clean,0,3.6756659154436537,7.400673050706379
42,clean,0,3.6016179228953633,7.378340628717826
42,clean,0,4.098749791467172,7.795309479479196
42,clean,0,4.246047667492442,7.4319543835060236
42,clean,0,3.555581663600756,7.221511034722862
42,clean,0,4.383451953718983,7.5813639853025006
42,clean,0,3.6050767820331906,8.08098589536067
42,clean,0,4.15785572199434,7.827056754673195
42,clean,0,3.9526180002990827,7.06518606198926
42,clean,0,4.199729413662162,7.3320628881098155
42,zz_scale_0.05,1,3.4515234898909926,7.433494312696804
42,zz_scale_0.05,1,4.22114731983658,7.989592898003961
42,zz_scale_0.05,1,3.809721779391819,7.132894453473446
42,zz_scale_0.05,1,3.6210639298239733,6.924715252198239
42,zz_scale_0.05,1,3.9829288395839053,7.7995521200590945
42,zz_scale_0.05,1,3.9772919897442094,6.886321802649423
42,zz_scale_0.05,1,3.4111780712514794,7.184545574381886
42,zz_scale_0.05,1,4.153040625246489,7.5572442862012785
42,zz_scale_0.05,1,3.7564039904420654,7.0688849937893945
42,zz_scale_0.05,1,3.677759452323458,7.517462500377075
42,zz_scale_0.05,1,3.69565297726247,7.410451634590246
42,zz_scale_0.05,1,4.197249705147942,7.338933935690381
42,zz_scale_0.05,1,3.539486201927977,7.527715511280934
42,zz_scale_0.05,1,4.144800442652238,7.7380009019259175
42,zz_scale_0.05,1,3.7426351772536566,7.435603351338231
42,zz_scale_0.15,1,4.128161232045836,7.707262558325106
42,zz_scale_0.15,1,4.335678200523087,7.294991434926002
42,zz_scale_0.15,1,4.127226810222076,7.684814898744249
42,zz_scale_0.15,1,4.582603749795943,8.306206586738613
42,zz_scale_0.15,1,4.076874052567902,7.446078233252397
42,zz_scale_0.15,1,4.946724253174229,7.821486633042892
42,zz_scale_0.15,1,3.5007808617251905,7.192550391180796
42,zz_scale_0.15,1,4.535001902359213,7.781847981156506
42,zz_scale_0.15,1,3.8263846127766517,7.929436268635454
42,zz_scale_0.15,1,4.5591418576890375,7.171142518134261
42,zz_scale_0.15,1,4.83214751853475,8.430450596405603
42,zz_scale_0.15,1,3.9059297004025355,7.753363540417138
42,zz_scale_0.15,1,4.323044676365274,8.307244265563307
42,zz_scale_0.15,1,3.8423125798859847,7.391431435018091
42,zz_scale_0.15,1,4.927436171640518,8.382290567971724
