seed,n_calib,tau_gate,null_mean,null_max
42,30,4.184135424554498,3.8887270847564426,4.291493271635892
43,30,4.484032582759433,4.011759301393346,4.6033534615219205
44,30,4.3566702149762575,3.9666248947742146,4.389933808711278
45,30,4.303365411564496,3.8203843104315895,4.38047519250065
46,30,4.269307444245071,3.850157539283904,4.532828235479346
47,30,4.187296160391424,3.763813449137777,4.319750954097846
48,30,4.169896497209124,3.7369558300058037,4.40440603073646
49,30,4.477353147871731,3.8887981849203563,4.679095918730675
50,30,4.243064303512246,3.844736112004152,4.432076698783576
51,30,4.380355031417744,4.046472693916303,4.456075756262305
