seed,phi_max_rad,tau_gate,mean_delta_benign,false_fire_rate
42,0.05,7.116327213012095,6.674420672262513,0.13333333333333333
42,0.25,7.116327213012095,6.901255093533579,0.26666666666666666
42,0.5,7.116327213012095,7.642098056531443,0.8
42,1.0,7.116327213012095,8.771655686028321,1.0
42,1.5,7.116327213012095,8.499173238864605,1.0
42,3.0,7.116327213012095,8.730390095821232,1.0
42,6.0,7.116327213012095,8.708803239823565,1.0
43,0.05,6.987374967035163,6.395941928922279,0.13333333333333333
43,0.25,6.987374967035163,7.009853620397751,0.5333333333333333
43,0.5,6.987374967035163,8.000594033014233,1.0
43,1.0,6.987374967035163,8.717562665010604,1.0
43,1.5,6.987374967035163,8.69264146011926,1.0
43,3.0,6.987374967035163,8.604383648451542,1.0
43,6.0,6.987374967035163,8.537548203881025,1.0
44,0.05,7.11327452345095,6.319873705935264,0.06666666666666667
44,0.25,7.11327452345095,6.871305405274156,0.3333333333333333
44,0.5,7.11327452345095,7.931390822008494,0.8666666666666667
44,1.0,7.11327452345095,8.457988893678259,1.0
44,1.5,7.11327452345095,8.597807155679646,1.0
44,3.0,7.11327452345095,8.36440484790753,1.0
44,6.0,7.11327452345095,8.478621584551423,1.0
45,0.05,7.174284179897388,6.42305160714218,0.13333333333333333
45,0.25,7.174284179897388,7.145973641333838,0.5333333333333333
45,0.5,7.174284179897388,7.998182261094803,0.9333333333333333
45,1.0,7.174284179897388,8.521741409923642,1.0
45,1.5,7.174284179897388,8.619753052821649,1.0
45,3.0,7.174284179897388,8.438394897073064,1.0
45,6.0,7.174284179897388,8.620178120930083,1.0
46,0.05,6.991877612228374,6.2942189658606855,0.13333333333333333
46,0.25,6.991877612228374,6.90447485455396,0.5333333333333333
46,0.5,6.991877612228374,7.762851567564386,0.8666666666666667
46,1.0,6.991877612228374,8.434355608171458,1.0
46,1.5,6.991877612228374,8.34627898761501,1.0
46,3.0,6.991877612228374,8.346542524365624,1.0
46,6.0,6.991877612228374,8.16520068333952,1.0
47,0.05,6.822855104284435,6.112386558515829,0.06666666666666667
47,0.25,6.822855104284435,6.650620044134124,0.26666666666666666
47,0.5,6.822855104284435,7.7018643551969275,0.8666666666666667
47,1.0,6.822855104284435,8.61526128531496,1.0
47,1.5,6.822855104284435,8.309041664189323,1.0
47,3.0,6.822855104284435,8.136524265865388,1.0
47,6.0,6.822855104284435,8.399725543516421,1.0
48,0.05,6.975657925629117,6.541617971776814,0.2
48,0.25,6.975657925629117,7.004238234237198,0.4666666666666667
48,0.5,6.975657925629117,7.984271107639476,0.9333333333333333
48,1.0,6.975657925629117,8.36851260835134,1.0
48,1.5,6.975657925629117,8.420357039277171,1.0
48,3.0,6.975657925629117,8.322105643099814,1.0
48,6.0,6.975657925629117,8.59556048190132,1.0
49,0.05,6.64895654383441,5.9980333509423325,0.2
49,0.25,6.64895654383441,6.7202836967905135,0.6
49,0.5,6.64895654383441,7.750567087664737,1.0
49,1.0,6.64895654383441,8.514175392372914,1.0
49,1.5,6.64895654383441,8.400403356724393,1.0
49,3.0,6.64895654383441,8.49549752031631,1.0
49,6.0,6.64895654383441,8.524535777725527,1.0
50,0.05,6.850498100956738,6.5485553425662,0.26666666666666666
50,0.25,6.850498100956738,6.889066165387711,0.5333333333333333
50,0.5,6.850498100956738,7.820264862939707,0.9333333333333333
50,1.0,6.850498100956738,8.453676671822729,1.0
50,1.5,6.850498100956738,8.575092614298955,1.0
50,3.0,6.850498100956738,8.589092441597497,1.0
50,6.0,6.850498100956738,8.712679876999777,1.0
51,0.05,6.63855461211837,5.925490863595663,0.0
51,0.25,6.63855461211837,6.80743970077344,0.5333333333333333
51,0.5,6.63855461211837,7.366186923649651,1.0
51,1.0,6.63855461211837,7.850358258325904,1.0
51,1.5,6.63855461211837,8.00851801784906,1.0
51,3.0,6.63855461211837,7.914295577383855,1.0
51,6.0,6.63855461211837,8.111440721183174,1.0
