state_id,seed,stage,within_ct_mean_cos,within_cnt_mean_cos,across_mean_cos,within_ct_abs_mean,within_cnt_abs_mean,across_abs_mean
bloodmnist_seed42_before,42,before,0.05019580106980949,-0.015513882560782089,-0.013006051162751258,0.05644521806775621,0.04222698917575719,0.06840950869228583
bloodmnist_seed42_after,42,after,-0.009743298878594233,0.009732346051973985,0.0004363117326436583,0.05317826075027339,0.056973569504990086,0.055635746975825316
bloodmnist_seed43_before,43,before,0.021816836755668683,-0.0020612351363354315,0.007388805506165805,0.054943332178926794,0.03597571891441209,0.05382443054445989
bloodmnist_seed43_after,43,after,0.029214965358447798,0.031338456555326646,0.030734656811566726,0.036314628379263435,0.05496341532728747,0.060529901101010045
bloodmnist_seed44_before,44,before,0.017357905130200586,0.018738057553373016,0.035460037233381654,0.06341768456800953,0.06307984791708388,0.06206633762656139
bloodmnist_seed44_after,44,after,0.020273734686972522,-0.0042007318502808155,0.0400137502530498,0.059316455815571066,0.0506370775423232,0.06496059988703895
bloodmnist_seed45_before,45,before,0.015451720505608682,-0.007208662696912643,0.011787744069314736,0.07072086379421477,0.044259099176964564,0.047860168715851116
bloodmnist_seed45_after,45,after,-0.00810267386302975,0.03223842199597868,0.035738189033170144,0.04862486502330956,0.072833335462032,0.05607659650236682
bloodmnist_seed46_before,46,before,-0.028710841621016413,0.023566435817090316,0.007966283290248146,0.050508492928929935,0.04746082244146099,0.056150186582558305
bloodmnist_seed46_after,46,after,0.01665839701238417,0.02685300415086612,0.005889983499204804,0.04819180388102575,0.03980850244729675,0.05068681636836955
bloodmnist_seed47_before,47,before,0.015398289838203613,0.016622297545669098,0.01924482680139896,0.07769237083510301,0.047347801502703867,0.04647937699851964
bloodmnist_seed47_after,47,after,-0.02130337189327427,-0.0004055241989782174,0.00101242428168384,0.054300346086668685,0.07241317076925127,0.046849217187222486
bloodmnist_seed48_before,48,before,0.005585131090178533,-0.003948113042467322,0.006597262756381331,0.0697463561825731,0.06378929219002116,0.056438424619107315
bloodmnist_seed48_after,48,after,0.029839346718551336,0.01754217278161009,-0.00018893342764180087,0.050230882879012305,0.04306388610748418,0.05001752247241614
bloodmnist_seed49_before,49,before,-0.04287939896230777,0.019281475345769163,-0.0016529432640996647,0.06517690880078256,0.04611291752192129,0.05366831431233625
bloodmnist_seed49_after,49,after,0.03127468237474252,0.011949081145009014,0.0006391669274263501,0.047554350118290685,0.04500303966502409,0.04325680020635004
bloodmnist_seed50_before,50,before,0.055125542332285546,0.019023575006525552,-0.00922071519192102,0.07687050217113989,0.06946716557170099,0.06393490761753666
bloodmnist_seed50_after,50,after,0.012287981656527554,-0.020064996190508423,-0.0018907468651015549,0.0332062880307747,0.0605942115916628,0.04215348416967998
bloodmnist_seed51_before,51,before,-0.022442163921663018,0.027448359321634808,0.0034030095977134493,0.045767891803762964,0.05141179958591573,0.058160216166082926
bloodmnist_seed51_after,51,after,-0.02773489408705514,0.0018277813908281863,0.022901137113301044,0.050305846227451524,0.05678233966095584,0.07679400194433184
