state_id,variant_type,variant_id,j_star_C,margin_C,R_manifold,agrees_with_original
bloodmnist_seed44_before,theta_eps0.001,1,112,0.00817220878122854,0.2869635597238817,True
bloodmnist_seed44_before,theta_eps0.001,2,112,0.011772851775880555,0.2870228643504666,True
bloodmnist_seed44_before,theta_eps0.001,3,112,0.010163000922011556,0.28685329585758257,True
bloodmnist_seed44_before,theta_eps0.001,4,112,0.00794236993022257,0.28653039882986914,True
bloodmnist_seed44_before,theta_eps0.01,0,118,0.0226482027544187,0.2845868510865696,False
bloodmnist_seed44_before,theta_eps0.01,1,118,0.00652206058214988,0.28895715037228265,False
bloodmnist_seed44_before,theta_eps0.01,2,112,0.022170281836727257,0.28957323728986517,True
bloodmnist_seed44_before,theta_eps0.01,3,112,0.007520165750189212,0.2882853927187466,True
bloodmnist_seed44_before,theta_eps0.01,4,118,0.01456663928621904,0.28495099739149504,False
bloodmnist_seed44_after,x_ref,1,140,0.07158224243985167,0.32702523806989964,False
bloodmnist_seed44_after,x_ref,2,62,0.06752956135595123,0.27935562978605183,False
bloodmnist_seed44_after,x_ref,3,114,0.07274985415708207,0.3112852412520972,False
bloodmnist_seed44_after,x_ref,4,87,0.030233651191538147,0.3262133782348217,False
bloodmnist_seed44_after,theta_eps0.001,0,235,0.1298186680480819,0.3341231156224418,True
bloodmnist_seed44_after,theta_eps0.001,1,235,0.12925547688746009,0.3329517175859739,True
bloodmnist_seed44_after,theta_eps0.001,2,235,0.1297264295877265,0.33441057856682793,True
bloodmnist_seed44_after,theta_eps0.001,3,235,0.13043700406541497,0.3335761292128902,True
bloodmnist_seed44_after,theta_eps0.001,4,235,0.12928613051024396,0.33330385654420547,True
bloodmnist_seed44_after,theta_eps0.01,0,235,0.13517515277433317,0.3356243140740626,True
bloodmnist_seed44_after,theta_eps0.01,1,235,0.1082352813764712,0.323615870619494,True
bloodmnist_seed44_after,theta_eps0.01,2,235,0.12006622027948421,0.33862784832961956,True
bloodmnist_seed44_after,theta_eps0.01,3,235,0.13431968266727745,0.33033896955669984,True
bloodmnist_seed44_after,theta_eps0.01,4,235,0.11867844950408485,0.3273599681384733,True
bloodmnist_seed45_before,x_ref,1,102,0.1594292009250009,0.3727698116961668,False
bloodmnist_seed45_before,x_ref,2,112,0.08077625660527177,0.2748346728453881,False
bloodmnist_seed45_before,x_ref,3,10,0.05540829821625459,0.2874052408276262,False
bloodmnist_seed45_before,x_ref,4,77,0.009128826558276348,0.2888503489667564,False
bloodmnist_seed45_before,theta_eps0.001,0,235,0.15551301102399306,0.36171566170158836,True
bloodmnist_seed45_before,theta_eps0.001,1,235,0.15591931488093458,0.3626825308262782,True
bloodmnist_seed45_before,theta_eps0.001,2,235,0.15582630372122452,0.36326056859790784,True
bloodmnist_seed45_before,theta_eps0.001,3,235,0.1503632233059904,0.3626758842866253,True
bloodmnist_seed45_before,theta_eps0.001,4,235,0.15779817041648958,0.36239635450098134,True
bloodmnist_seed45_before,theta_eps0.01,0,235,0.15656822393666409,0.3497661470638594,True
bloodmnist_seed45_before,theta_eps0.01,1,235,0.15627262014706994,0.36052856878027856,True
bloodmnist_seed45_before,theta_eps0.01,2,235,0.15686160373821506,0.365929089012888,True
bloodmnist_seed45_before,theta_eps0.01,3,235,0.10505170040051864,0.36053809566160583,True
bloodmnist_seed45_before,theta_eps0.01,4,235,0.1782294239484365,0.3578158606542823,True
bloodmnist_seed45_after,x_ref,1,150,0.08399884061846546,0.2775074756288736,False
bloodmnist_seed45_after,x_ref,2,115,0.013564747043879666,0.2332523132482203,False
bloodmnist_seed45_after,x_ref,3,194,0.05012273850064325,0.27378467620676067,False
bloodmnist_seed45_after,x_ref,4,195,0.2283959238453525,0.22617384067020055,False
bloodmnist_seed45_after,theta_eps0.001,0,5,0.020568722418611518,0.3004196784230739,True
bloodmnist_seed45_after,theta_eps0.001,1,5,0.01868591119566787,0.29946483487083936,True
bloodmnist_seed45_after,theta_eps0.001,2,5,0.02126643020935648,0.2977153631360925,True
bloodmnist_seed45_after,theta_eps0.001,3,5,0.018517581153705887,0.29866429172325576,True
bloodmnist_seed45_after,theta_eps0.001,4,5,0.016775339741439188,0.29827670395064815,True
bloodmnist_seed45_after,theta_eps0.01,0,5,0.050926989623281405,0.30468214139530847,True
bloodmnist_seed45_after,theta_eps0.01,1,5,0.028106219240497166,0.2939929070713123,True
bloodmnist_seed45_after,theta_eps0.01,2,5,0.05553726637830758,0.274245119436366,True
bloodmnist_seed45_after,theta_eps0.01,3,5,0.028517849417209307,0.2854986241587347,True
bloodmnist_seed45_after,theta_eps0.01,4,5,0.010133906967568995,0.28345016781965376,True
bloodmnist_seed46_before,x_ref,1,224,0.08157452938351534,0.25879801443263994,False
bloodmnist_seed46_before,x_ref,2,170,0.008769667438912998,0.35908800729139395,False
bloodmnist_seed46_before,x_ref,3,8,0.011278047878728714,0.3283343610485047,False
bloodmnist_seed46_before,x_ref,4,195,0.02818116631759332,0.2945902465819192,False
bloodmnist_seed46_before,theta_eps0.001,0,69,0.07699264646791648,0.23709336058340616,True
bloodmnist_seed46_before,theta_eps0.001,1,69,0.07529160575164384,0.2368467449633357,True
bloodmnist_seed46_before,theta_eps0.001,2,69,0.07256155848364254,0.23978791665049118,True
bloodmnist_seed46_before,theta_eps0.001,3,69,0.07554856794763315,0.23702703909516198,True
bloodmnist_seed46_before,theta_eps0.001,4,69,0.07560514080666875,0.237236392008627,True
bloodmnist_seed46_before,theta_eps0.01,0,69,0.07475500013376879,0.2391283570260173,True
bloodmnist_seed46_before,theta_eps0.01,1,69,0.07324973478235103,0.23354441212212954,True
bloodmnist_seed46_before,theta_eps0.01,2,69,0.04821981267293424,0.25921426192702557,True
bloodmnist_seed46_before,theta_eps0.01,3,69,0.07726466362940376,0.23555839797848857,True
