seed,n_pilot,direct_recovery,shadow_recovery,grouped_recovery,shots_per_setting_direct,shots_per_setting_grouped
42,100,0.1258137701637345,0.1040226711996074,0.16174565578886613,0,1
42,500,0.1493260336905875,0.12489602412707694,0.07218721275405574,1,6
42,2000,0.21586706558898627,0.1265778209191225,0.10325913874150223,7,24
42,10000,0.1228569077868443,0.15154170944033338,0.1737612876483513,39,123
42,100000,0.24008047642402075,0.4778297535606992,0.36779463602071566,392,1234
42,1000000,0.3719169908017167,0.7699481833315135,0.7575173761290128,3921,12345
43,100,0.0019227202020974065,0.07952440282965334,0.13183573326384118,0,1
43,500,0.13994310701785234,0.1195481683049902,0.1393911698123428,1,6
43,2000,0.1339472695727851,0.13341997945172915,0.1250989326831313,7,24
43,10000,0.05027036477802425,0.1560301193846818,0.12422102135813025,39,123
43,100000,0.20097448427721726,0.17325691246562436,0.21071361676193767,392,1234
43,1000000,0.2212135032673305,0.2267730253787028,0.24535342716506642,3921,12345
44,100,0.0017874186540128279,0.14426600768177034,0.11056324160159776,0,1
44,500,0.0793598661001199,0.14732608121692642,0.11083248191069298,1,6
44,2000,0.11007344107881042,0.13766390095687248,0.07389693442021897,7,24
44,10000,0.06690813104278817,0.10567419306165327,0.1805853033755973,39,123
44,100000,0.1576832217553735,0.09417301074157806,0.1296350369590536,392,1234
44,1000000,0.09819211352854168,0.031170860614170952,0.07650316326170734,3921,12345
45,100,1.0,0.17444523712377746,0.1998926358173692,0,1
45,500,0.1403490743139347,0.15383276895898387,0.21417371477674907,1,6
45,2000,0.1930827050894734,0.10086971272020666,0.07955376054838197,7,24
45,10000,0.14127517634615075,0.1239339031799022,0.16049305621879167,39,123
45,100000,0.21171938742876512,0.1585060644393095,0.1736894776906231,392,1234
45,1000000,0.1493252455728208,0.12166249321950713,0.15820446272398603,3921,12345
46,100,0.07761430131184169,0.1336462103240869,0.06065054314775988,0,1
46,500,0.13661161222358092,0.25821442395212924,0.17563794490286547,1,6
46,2000,0.08365896416695834,0.08182905603515411,0.18424432254691242,7,24
46,10000,0.10048763106437748,0.09998066509665869,0.16748599543193785,39,123
46,100000,0.27985993002335896,0.11906092171372254,0.15049105885475028,392,1234
46,1000000,0.12269797334582191,0.10191967343993309,0.07664662174803225,3921,12345
47,100,0.15542522866907407,0.13356614596267782,0.12135477081402772,0,1
47,500,0.07014869433188223,0.17293892471018285,0.06702789028748823,1,6
47,2000,0.09208415249829208,0.17313377456020726,0.1456244911006613,7,24
47,10000,0.23799364534144712,0.09164627499028911,0.18706922171568596,39,123
47,100000,0.12334869818078457,0.017772432301536193,0.03721749834406696,392,1234
47,1000000,0.06875070779492409,0.010442441072484774,0.018836309047220175,3921,12345
48,100,0.11101412301680884,0.09084290791057871,0.10163093041752347,0,1
48,500,0.08281019963318106,0.16802062690596817,0.15200582936678095,1,6
48,2000,0.19486248836243752,0.1391768941973367,0.12812538401095191,7,24
48,10000,0.1677562562223747,0.1621697775915391,0.1515036712141557,39,123
48,100000,0.23229603443334038,0.1952717840048303,0.2632840914382346,392,1234
48,1000000,0.1814770540471728,0.16994878891597498,0.16164558712589383,3921,12345
49,100,0.10185477043053923,0.08509288614500764,0.11215303353104014,0,1
49,500,0.1320913940307678,0.12092374099532818,0.10105175754653155,1,6
49,2000,0.15318159149833013,0.12421227901807128,0.14580807129308557,7,24
49,10000,0.10170236836553959,0.16791990426432055,0.14085697302602435,39,123
49,100000,0.12513887961070397,0.1795573062160784,0.17101887771618646,392,1234
49,1000000,0.1694960172398653,0.1555930977592763,0.16406756713260637,3921,12345
50,100,0.04325578374282426,0.18671851876505813,0.1942724456156396,0,1
50,500,0.24391334898463354,0.24904090340259982,0.18582213393953573,1,6
50,2000,0.17571124624535644,0.22080932865652608,0.1457925425627969,7,24
50,10000,0.1468739797235403,0.3064133710744151,0.15617607187952698,39,123
50,100000,0.20047029603088765,0.14865667979384095,0.17347557081558554,392,1234
50,1000000,0.3028344439116402,0.39605972754790997,0.27135400852593283,3921,12345
51,100,0.008003565084081971,0.1731995494783612,0.08531559325324839,0,1
51,500,0.1035948518335473,0.15733603426812826,0.0809264718297438,1,6
51,2000,0.1336757893484142,0.06843349728290622,0.07976932220641467,7,24
51,10000,0.14544882785738636,0.12552241216374058,0.2153217701376769,39,123
51,100000,0.12212896169776266,0.21687038437750156,0.2178453585574221,392,1234
51,1000000,0.27967299412491586,0.30006886076814504,0.336498317397339,3921,12345
