seed,n_pilot,n_repeats,clean_recovery_fraction,adaptive_recovery_fraction_mean
42,10000,20,0.020066575430047397,0.9777532427707775
42,100000,20,0.020066575430047397,1.0
42,1000000,20,0.020066575430047397,1.0
42,10000000,20,0.020066575430047397,1.0
43,10000,20,0.3976956060174935,0.9649894037468048
43,100000,20,0.3976956060174935,0.9824947018734024
43,1000000,20,0.3976956060174935,1.0000000000000009
43,10000000,20,0.3976956060174935,1.0000000000000009
44,10000,20,0.7454872704869054,0.8763425839981381
44,100000,20,0.7454872704869054,0.9872743635243462
44,1000000,20,0.7454872704869054,1.0000000000000009
44,10000000,20,0.7454872704869054,1.0000000000000009
45,10000,20,0.9871631109845773,0.9263335974121485
45,100000,20,0.9871631109845773,0.9556866024060998
45,1000000,20,0.9871631109845773,0.9942233999430597
45,10000000,20,0.9871631109845773,0.9993581555492289
46,10000,20,0.0007347508892203785,0.9749887873327624
46,100000,20,0.0007347508892203785,1.0
46,1000000,20,0.0007347508892203785,1.0
46,10000000,20,0.0007347508892203785,1.0
47,10000,20,0.09519857800482863,1.0
47,100000,20,0.09519857800482863,1.0
47,1000000,20,0.09519857800482863,1.0
47,10000000,20,0.09519857800482863,1.0
48,10000,20,0.0012809675967462638,0.980459244488922
48,100000,20,0.0012809675967462638,1.0000000000000007
48,1000000,20,0.0012809675967462638,1.0000000000000007
48,10000000,20,0.0012809675967462638,1.0000000000000007
49,10000,20,0.06692631949787343,0.9533000326460385
49,100000,20,0.06692631949787343,0.9999999999999996
49,1000000,20,0.06692631949787343,0.9999999999999996
49,10000000,20,0.06692631949787343,0.9999999999999996
50,10000,20,1.0,0.9181933482390076
50,100000,20,1.0,1.0
50,1000000,20,1.0,1.0
50,10000000,20,1.0,1.0
51,10000,20,0.18933231365622008,1.0
51,100000,20,0.18933231365622008,1.0
51,1000000,20,0.18933231365622008,1.0
51,10000000,20,0.18933231365622008,1.0
