state_id,seed,stage,before_worst,budget1_label,budget1_worst_after,budget1_cumulative_reduction_pct,budget1_marginal_reduction_pct,budget2_label,budget2_worst_after,budget2_cumulative_reduction_pct,budget2_marginal_reduction_pct,budget3_label,budget3_worst_after,budget3_cumulative_reduction_pct,budget3_marginal_reduction_pct
bloodmnist_seed42_before,42,before,2.5592616572584364,ZIIX,2.434975943956531,4.856311309529968,4.856311309529968,ZZXY,2.337678992844298,8.65806994707626,3.801758637546294,ZIXI,2.2503315357632507,12.071064348540334,3.412994401464073
bloodmnist_seed42_after,42,after,2.475242321963596,YYIZ,2.3541603127751363,4.891723453257942,4.891723453257942,XXXX,2.2718621775988628,8.21657510297387,3.3248516497159293,XZZI,2.226943336015443,10.031300117363006,1.814725014389136
bloodmnist_seed43_before,43,before,2.489434090154003,IXIY,2.43717348806154,2.0992964746148384,2.0992964746148384,IYXZ,2.4014766290811567,3.533231163690103,1.4339346890752642,IYYY,2.3701386353330665,4.792071229873641,1.258840066183538
bloodmnist_seed43_after,43,after,2.51217039280693,ZYZY,2.398391875800676,4.529092347081015,4.529092347081015,YYXY,2.3448279943307675,6.661267840561773,2.1321754934807577,YXYX,2.3205122963003455,7.629183794831629,0.9679159542698564
bloodmnist_seed44_before,44,before,2.294373544347011,XIXZ,2.2490125899146975,1.9770518424986103,1.9770518424986103,YYZZ,2.2180326718254415,3.327307914165139,1.3502560716665284,IZYI,2.191969134718337,4.463284101273855,1.1359761871087166
bloodmnist_seed44_after,44,after,2.232519530625235,XZYY,2.1716918075960896,2.7246222124699577,2.7246222124699577,XIXX,2.145435555966902,3.9007038220151378,1.1760816095451803,XIXZ,2.111802341798752,5.407217592971071,1.5065137709559324
bloodmnist_seed45_before,45,before,2.4896970894148818,ZZYX,2.373477393758928,4.668025526079852,4.668025526079852,YYXI,2.2869404393505124,8.143828055485272,3.47580252940542,ZZXX,2.2507959983821193,9.595588638010097,1.4517605825248243
bloodmnist_seed45_after,45,after,2.338018851701163,IIXZ,2.2647301767148336,3.1346485907504045,3.1346485907504045,ZXXY,2.208690051942868,5.531555045597432,2.396906454847027,XIYZ,2.167512364646324,7.292776400445904,1.7612213548484725
bloodmnist_seed46_before,46,before,2.3091964215909497,ZIZY,2.227472698297728,3.5390546481497207,3.5390546481497207,YIIX,2.1596746839323475,6.475054969797127,2.936000321647407,YIIY,2.13130813908785,7.703471252590176,1.2284162827930483
bloodmnist_seed46_after,46,after,2.5366159667496033,ZIXY,2.442293614393022,3.71843249403831,3.71843249403831,YXIZ,2.352160576981048,7.2717112951439375,3.5532788011056264,ZXIY,2.3044804267831442,9.151386848042096,1.87967555289816
