seed,baseline_drift,drift_unconstrained,static_unconstrained,flip_unconstrained,b_only_energy_fraction,drift_constrained,static_constrained,flip_constrained,baseline_static,baseline_flip
42,4.041827216427494,2.883892851505295e-13,1.0,False,1.0,1.905271838852876,0.7434265306867732,True,0.06250230874559426,True
43,5.438580440706538,1.5836067346526006e-14,1.0,False,1.0,2.1389971643031647,0.9398822358345736,True,0.0001572793634423599,True
44,4.4815111827807765,6.757845743869942e-13,1.0,False,1.0,2.1027850019016427,0.39571102384785584,True,0.05898429395838051,True
45,5.026045042979123,2.7471416062202276e-13,1.0,False,1.0,2.0240070762771625,0.4864212385108578,True,0.09730259020240804,True
46,4.38512386788671,4.483525181296322e-14,1.0,False,1.0,1.7913308362819442,0.064450921617664,True,0.010289022996709238,True
47,5.038344721401558,0.000149150130031274,1.0,False,0.9999999997918433,1.678135379138251,0.8528350934498056,True,0.0768160682220205,True
48,4.175197039835785,0.00014201392154611283,1.0,False,0.9999999999258893,1.8969229059770392,0.3791589710956937,True,0.08859447677213245,True
49,4.556695578513098,0.00023879540975559686,1.0,False,0.9999999998358466,1.8503786636124537,0.3607207058769409,True,0.24445980211476304,True
50,4.593112683441574,0.00016887409765427422,1.0,False,0.9999999997176517,2.18457105805615,0.17117108101166137,True,0.2803383211223284,True
51,4.241679609733562,0.00010360548323642079,1.0,False,0.9999999998982659,1.6586156241653607,0.8101423415195534,True,0.008098865393901276,True
