mechanism,seed,same_j_star,cos_r_DC,R_manifold_after,clean_recovery_fraction,adaptive_recovery_10000,adaptive_recovery_100000,adaptive_recovery_1000000
weak_zz,42,True,0.9330631721715028,0.368059502259353,1.0,0.15030542736553792,0.42240500952993415,0.5911578160574997
weak_zz,43,True,0.9430473923726177,0.39571737835241816,1.0,0.16736983312588272,0.368598983124877,0.4372991964974284
weak_zz,44,True,0.9570686840636315,0.28847365139813835,1.0,0.22317933104015572,0.2789948303879183,0.48027721126886264
weak_zz,45,True,0.8944539204304652,0.30565309915264166,1.0,0.12736085723072546,0.21810448787617842,0.3617004595285838
weak_zz,46,True,0.9623888720237714,0.26906508411642666,1.0,0.15397362185903865,0.3762816280004348,0.5461260438581241
weak_zz,47,False,0.9407003815910393,0.29850717204889143,0.9057027317585623,0.12954119848838197,0.4359935239447401,0.511549138182662
weak_zz,48,False,0.9334611407787616,0.2892832897918376,0.524875197900191,0.2085701410950026,0.44573809105602774,0.4714386496279131
weak_zz,49,False,0.9045170964612863,0.25539903892723165,0.5800903024976928,0.15841648033761802,0.5485864046171101,0.730987779305183
weak_zz,50,False,0.9497930429421594,0.33964372512844204,0.6788579499525423,0.27037751421186174,0.5201281617058136,0.7571520848716876
weak_zz,51,False,0.9648635543302331,0.22841903422338172,0.9006009379099872,0.08568932134330995,0.21594670044692357,0.5773083436141835
z_only,42,False,-0.04672224376820894,0.3728511882035684,9.775040538247059e-06,0.07749489791601616,0.08440152405607369,0.05215209439777278
z_only,43,False,0.23580387025326596,0.3928329030480229,0.0016588146996446233,0.05898529769150067,0.2148574772752132,0.16766609558858636
z_only,44,False,-0.06281443661614429,0.2867571724708737,0.008426342428419038,0.10970109409393786,0.1628297188697362,0.12522092141418922
z_only,45,False,0.022415359605154103,0.3628761492568153,0.006699861384158142,0.062141388715828666,0.10847423100936382,0.11472917952700079
z_only,46,False,0.043524666633550965,0.2372251647082757,0.965071111617267,0.15938309070095935,0.09276043434042075,0.24883694715710689
z_only,47,False,-0.0807341974670604,0.29664487345472296,0.4903529987966586,0.18973550029545197,0.24416075514360602,0.22168976965872067
z_only,48,False,-0.018406151426817424,0.2813707679923606,0.28492044949091977,0.08302209575783845,0.1808557586041633,0.18154638164657705
z_only,49,False,-0.11665817613512697,0.225288419549384,0.07631429661676557,0.07412046406839295,0.13123968039317627,0.07299984111797392
z_only,50,False,0.24980167532536807,0.29084830401340295,0.21613463250817996,0.212104513555523,0.15556547082683372,0.1728562524941815
z_only,51,False,-0.07732010508856539,0.20366494634620047,0.5748202243195878,0.23025871951305193,0.2031194984713099,0.11544005024979868
