seed,R_manifold_before,j_flipped,static_recovery
42,0.6325557383733799,True,0.098533472856554
43,0.6629793328556325,True,0.014803829028202502
44,0.7017003190858527,True,0.00518347198800767
45,0.6657789443735218,True,0.7328331556972233
46,0.7005641539525477,True,0.2792572599301711
47,0.6277420351107851,True,0.5944709070290883
48,0.681194324905471,True,0.42372766410434837
49,0.7249503032981045,True,0.6282849817169733
50,0.6116003708686096,True,0.3939829241919925
51,0.7182586920733293,True,0.4743748044116453
