seed,condition,size,gamma_after,recovery
42,ideal_continuous,,5.091240379366287e-15,0.9999999999999978
42,best_single_pauli,1,2.2263177752882077,0.03517197415150597
42,best_2_pauli_combo,2,2.1702043800779838,0.059490055301142486
42,best_3_pauli_combo,3,2.1214409844187814,0.08062283845086449
42,best_5_pauli_combo,5,2.024116525353617,0.12280071923181424
42,best_10_pauli_combo,10,1.8255817794107003,0.2088404971631741
42,best_20_pauli_combo,20,1.5394493518532,0.3328428243582672
42,hardware_qwc_group,8,2.069859002664884,0.10297712326023911
43,ideal_continuous,,4.143451985540702e-15,0.9999999999999982
43,best_single_pauli,1,2.28494872189511,0.04303400404321378
43,best_2_pauli_combo,2,2.2176186250961405,0.07123271700498779
43,best_3_pauli_combo,3,2.1624438303443867,0.09434063269052284
43,best_5_pauli_combo,5,2.0747106233988517,0.13108443134062264
43,best_10_pauli_combo,10,1.852051755397219,0.22433683710974184
43,best_20_pauli_combo,20,1.583602377525908,0.33676689901744683
43,hardware_qwc_group,8,2.176905573037145,0.0882838683235011
44,ideal_continuous,,4.105320754652401e-15,0.9999999999999981
44,best_single_pauli,1,2.130149200936429,0.04151233048485081
44,best_2_pauli_combo,2,2.0844476680509,0.06207631526557145
44,best_3_pauli_combo,3,2.042738811113735,0.0808437448269701
44,best_5_pauli_combo,5,1.876311016679983,0.15573004328870577
44,best_10_pauli_combo,10,1.6651373964021075,0.25075029401773363
44,best_20_pauli_combo,20,1.2735885987189555,0.4269326452013037
44,hardware_qwc_group,12,1.8777064985300262,0.15510212851836447
45,ideal_continuous,,4.366225992291534e-15,0.9999999999999981
45,best_single_pauli,1,2.2647301767148336,0.031346485907503996
45,best_2_pauli_combo,2,2.1927964694735573,0.062113435108506754
45,best_3_pauli_combo,3,2.1374862947151603,0.08577029087686494
45,best_5_pauli_combo,5,2.0589539418549605,0.1193595636079462
45,best_10_pauli_combo,10,1.8992764353520346,0.1876556367498472
45,best_20_pauli_combo,20,1.5287143943797585,0.34614967143337927
45,hardware_qwc_group,8,2.231092986591193,0.04573353419805393
46,ideal_continuous,,3.8496027649965325e-15,0.999999999999998
46,best_single_pauli,1,1.8762623402793086,0.034698141776021596
46,best_2_pauli_combo,2,1.8013705630054784,0.0732285595199299
46,best_3_pauli_combo,3,1.765736070206521,0.09156183913507254
46,best_5_pauli_combo,5,1.6775690515947765,0.13692212008987525
46,best_10_pauli_combo,10,1.4702807972654903,0.24356804736584314
46,best_20_pauli_combo,20,1.211578708735595,0.3766654300842731
46,hardware_qwc_group,14,1.7670999358320074,0.09086015579666806
47,ideal_continuous,,4.006002254574958e-15,0.9999999999999982
47,best_single_pauli,1,2.161084064911287,0.03936446185170628
47,best_2_pauli_combo,2,2.0903777661225655,0.07079451331995656
47,best_3_pauli_combo,3,2.016549211920328,0.10361245596657376
47,best_5_pauli_combo,5,1.9025356566520262,0.15429325769922697
47,best_10_pauli_combo,10,1.6826043103073267,0.2520561678432116
47,best_20_pauli_combo,20,1.432672603652569,0.3631547055729184
47,hardware_qwc_group,12,2.056706417989591,0.08576195218968241
48,ideal_continuous,,4.681312938628942e-15,0.9999999999999979
48,best_single_pauli,1,2.1563247948367112,0.03346664138415023
48,best_2_pauli_combo,2,2.1004110624003554,0.05852895469328756
48,best_3_pauli_combo,3,2.0422794763389787,0.08458538053975817
48,best_5_pauli_combo,5,1.9459660335490958,0.12775612901070466
48,best_10_pauli_combo,10,1.7802874391282373,0.2020185447190358
48,best_20_pauli_combo,20,1.5216358294053376,0.31795442305029675
48,hardware_qwc_group,8,2.1333133850597354,0.043781087163136
49,ideal_continuous,,4.539650126227876e-15,0.9999999999999979
49,best_single_pauli,1,2.070891048163407,0.032773958485703525
49,best_2_pauli_combo,2,2.007107279803975,0.0625646719266022
49,best_3_pauli_combo,3,1.941491649132326,0.0932109711475525
49,best_5_pauli_combo,5,1.8374390716620308,0.14180955034620668
49,best_10_pauli_combo,10,1.6638740493748476,0.22287446662997545
49,best_20_pauli_combo,20,1.4481705208298958,0.3236205055103063
49,hardware_qwc_group,15,1.888356545417783,0.11802814155197716
50,ideal_continuous,,4.845144685507562e-15,0.9999999999999979
50,best_single_pauli,1,2.2115769352285923,0.02732523456952396
50,best_2_pauli_combo,2,2.1467572963452963,0.055833592584019764
50,best_3_pauli_combo,3,2.10942825876306,0.07225129539854747
50,best_5_pauli_combo,5,1.9986151720993584,0.12098805483943142
50,best_10_pauli_combo,10,1.8023228480085394,0.20731948073265072
50,best_20_pauli_combo,20,1.5305784451316335,0.3268355233875352
50,hardware_qwc_group,14,1.9988870837132557,0.12086846525561334
51,ideal_continuous,,3.1711624517867356e-15,0.9999999999999982
51,best_single_pauli,1,1.7482211382805208,0.041842931225927416
51,best_2_pauli_combo,2,1.687919759604385,0.0748926358486447
51,best_3_pauli_combo,3,1.6427378795325753,0.0996557146281899
51,best_5_pauli_combo,5,1.563836839032962,0.14289943708008201
51,best_10_pauli_combo,10,1.3795800580843356,0.24388605328650015
51,best_20_pauli_combo,20,1.1150712365926652,0.3888568418874305
51,hardware_qwc_group,12,1.5955097429505205,0.12554029634399677
