R_manifold_before,tangent_rank_before,gamma_D_before,gamma_D_C_before,n_offdiag_candidates,static_recovery,adaptive_recovery,seed,n_a
0.3728511882035644,125,6.864029774423475,2.559261657258437,240,0.0011860429327413596,0.2211476872464459,42,4
0.01069293757868445,126,72.37239176127594,0.7738734675234203,992,0.003161195226704063,0.08039655491428228,42,5
0.3928329030480221,125,6.280799101063538,2.467304544332197,240,0.020193759149171375,0.23402290726030447,43,4
0.011187912883274292,126,72.37616102053151,0.8097381843235391,992,0.0011537000346913755,0.11006914362133198,43,5
0.28675717247087557,125,7.9868795545157045,2.2902949979183695,240,0.050229809917102096,0.11852289148649628,44,4
0.01069218537123117,126,72.67144929026065,0.7770166070074928,992,0.027311166143657317,0.1073023129020187,44,5
0.36287614925681577,125,6.861010552812238,2.4896970894148818,240,0.03197371917493299,0.17640805110987812,45,4
0.010022557520628358,126,72.52772794215394,0.7269133251407225,992,0.002038780052588034,0.07921257738936913,45,5
0.2372251647082912,125,9.021726585870937,2.1401805752864025,240,0.1439559131182704,0.16059561492451652,46,4
0.010681255231329456,126,72.20520091174026,0.7712421799677202,992,0.01884747858198577,0.11813013625369359,46,5
0.2966448734547224,125,7.249398412231956,2.150496874619414,240,0.007790116137865559,0.0763945912495724,47,4
0.010765761086392503,126,72.37247020186336,0.7791447234253216,992,0.012178085282390741,0.10902375265202754,47,5
0.28137076799235394,125,8.669668857155761,2.43939138457731,240,0.14045134269886295,0.18405781274141655,48,4
0.01105915310725679,126,72.05116310035903,0.7968248442828014,992,0.16873923039290267,0.0866464097110355,48,5
0.22528841954944454,125,9.600164666359488,2.1628059250985494,240,0.04302072181208115,0.21983645557774484,49,4
0.009616262732664546,126,71.9290172298143,0.6916883277842493,992,0.013828323462596598,0.07170203879044439,49,5
0.290848304013421,125,8.36402980267026,2.432663882824353,240,0.0009296625946913429,0.21760885968940036,50,4
0.011934600154657589,126,71.82782051788418,0.857236317861458,992,0.014532489865742557,0.05662773632425407,50,5
0.20366494634620103,125,8.088087246105871,1.6472598550215451,240,0.4326468939113332,0.15612845538629916,51,4
0.010414603818675674,126,71.8440291307719,0.7482271001343834,992,0.003323440995249095,0.12938568693809302,51,5
