seed,n_pilot,n_repeats,baseline_after,clean_calibrated,oracle_after,clean_recovery_fraction,adaptive_after_mean,adaptive_after_median,adaptive_recovery_fraction_mean,adaptive_matches_oracle_exactly
42,10000,20,2.3074762710487478,2.307380013588419,2.2263177752882077,0.0011860429327413596,2.293409538735271,2.297740965001414,0.17332421186046712,0/20
42,100000,20,2.3074762710487478,2.307380013588419,2.2263177752882077,0.0011860429327413596,2.2837319445453126,2.2954380037244757,0.2925673557762004,0/20
42,1000000,20,2.3074762710487478,2.307380013588419,2.2263177752882077,0.0011860429327413596,2.2752619258296436,2.279148258210647,0.3969312752438551,0/20
42,10000000,20,2.3074762710487478,2.307380013588419,2.2263177752882077,0.0011860429327413596,2.244988434676002,2.2449884346760016,0.769948183331508,0/20
43,10000,20,2.387701058918599,2.385626102972732,2.2849487218951094,0.020193759149175525,2.377382715000786,2.383437395410352,0.10041955459810455,0/20
43,100000,20,2.387701058918599,2.385626102972732,2.2849487218951094,0.020193759149175525,2.363302880698714,2.379954609727021,0.23744645549334473,2/20
43,1000000,20,2.387701058918599,2.385626102972732,2.2849487218951094,0.020193759149175525,2.3745204695961273,2.3867644065528517,0.12827532399052635,0/20
43,10000000,20,2.387701058918599,2.385626102972732,2.2849487218951094,0.020193759149175525,2.360009390074277,2.3624694091147855,0.26949916319656647,0/20
44,10000,20,2.222406472911607,2.217772407676824,2.130149200936429,0.05022980991709752,2.2088738438772664,2.217591752972683,0.14668360276230258,0/20
44,100000,20,2.222406472911607,2.217772407676824,2.130149200936429,0.05022980991709752,2.211153105986584,2.21616958688237,0.12197810193272304,0/20
44,1000000,20,2.222406472911607,2.217772407676824,2.130149200936429,0.05022980991709752,2.2131691933282744,2.2181493661257483,0.10012521924361646,0/20
44,10000000,20,2.222406472911607,2.217772407676824,2.130149200936429,0.05022980991709752,2.214981547731928,2.2168734960231538,0.08048064960859301,0/20
45,10000,20,2.338018851701163,2.335675540188447,2.2647301767148336,0.03197371917493299,2.3253455223287687,2.3281212574825787,0.17292343427900925,0/20
45,100000,20,2.338018851701163,2.335675540188447,2.2647301767148336,0.03197371917493299,2.3272406313198153,2.327552487313734,0.14706529192072385,0/20
45,1000000,20,2.338018851701163,2.335675540188447,2.2647301767148336,0.03197371917493299,2.3251919690363536,2.3285041067436976,0.1750186187320466,0/20
45,10000000,20,2.338018851701163,2.335675540188447,2.2647301767148336,0.03197371917493299,2.329538653168373,2.3295931029801986,0.11570953540054636,0/20
46,10000,20,1.943705302433968,1.9339964892335928,1.8762623402793088,0.14395591311827605,1.9329512478856075,1.9368068657127449,0.15945406614406402,0/20
46,100000,20,1.943705302433968,1.9339964892335928,1.8762623402793088,0.14395591311827605,1.9357914437269343,1.9395551911834938,0.11734150538770537,0/20
46,1000000,20,1.943705302433968,1.9339964892335928,1.8762623402793088,0.14395591311827605,1.9335731093597537,1.9383494567315211,0.15023351214882016,0/20
46,10000000,20,1.943705302433968,1.9339964892335928,1.8762623402793088,0.14395591311827605,1.9385929705396905,1.9383494567315211,0.0758023036199699,0/20
