state_id,seed,stage,n_candidates_searched,before_worst,j_oracle_worst_label,oracle_worst_after,oracle_reduction_pct,fu37_robust_avg_worst_after,fu37_robust_avg_reduction_pct,fu37_ambient_worst_after,oracle_beats_robust_avg
bloodmnist_seed42_before,42,before,240,2.5592616572584364,ZIIX,2.434975943956531,4.856311309529968,2.504571779081024,2.1369396920515698,2.514921512386973,True
bloodmnist_seed42_after,42,after,240,2.475242321963596,YYIZ,2.3541603127751363,4.891723453257942,2.3541603127751363,4.891723453257942,2.474849533755095,False
bloodmnist_seed43_before,43,before,240,2.489434090154003,IXIY,2.43717348806154,2.0992964746148384,2.4634441900508377,1.0440083634251818,2.473163184816819,True
bloodmnist_seed43_after,43,after,240,2.51217039280693,ZYZY,2.398391875800676,4.529092347081015,2.398391875800676,4.529092347081015,2.5004596532124888,False
bloodmnist_seed44_before,44,before,240,2.294373544347011,XIXZ,2.2490125899146975,1.9770518424986103,2.2940937593863686,0.01219439447127212,2.2887295454608663,True
bloodmnist_seed44_after,44,after,240,2.232519530625235,XZYY,2.1716918075960896,2.7246222124699577,2.1716918075960896,2.7246222124699577,2.23096955727395,False
bloodmnist_seed45_before,45,before,240,2.4896970894148818,ZZYX,2.373477393758928,4.668025526079852,2.4135587560530545,3.0581364168972462,2.4751493425657936,True
bloodmnist_seed45_after,45,after,240,2.338018851701163,IIXZ,2.2647301767148336,3.1346485907504045,2.330200601391911,0.3343963759557903,2.3376815944069524,True
bloodmnist_seed46_before,46,before,240,2.3091964215909497,ZIZY,2.227472698297728,3.5390546481497207,2.2887729140571045,0.8844421956870271,2.308393442871376,True
bloodmnist_seed46_after,46,after,240,2.5366159667496033,ZIXY,2.442293614393022,3.71843249403831,2.513583590369674,0.9079961918493575,2.513583590369674,True
