scale,seed,same_j_star,cos_r_DC,clean_recovery_fraction,adaptive_recovery_fraction
0.01,42,True,0.9993490142948271,1.0,0.4863226557037533
0.01,43,True,0.9994051181657527,1.0,0.6414939808562892
0.01,44,True,0.9995702616802664,1.0,0.44038095077919637
0.01,45,True,0.9990306621258109,1.0,0.5556870298705695
0.01,46,True,0.9996169712576598,1.0,0.40976168019493225
0.01,47,True,0.9994002720953183,1.0,0.3254434061571226
0.01,48,True,0.9992941145256217,1.0,0.45381272510282417
0.01,49,True,0.9989668374589828,1.0,0.4318544703305679
0.01,50,True,0.9994367198393085,1.0,0.45003487307978624
0.01,51,True,0.9996260289403859,1.0,0.3095177277525748
0.03,42,True,0.9940786609370275,1.0,0.4350285421699946
0.03,43,True,0.9946802396890041,1.0,0.39690987010471945
0.03,44,True,0.9961223743099259,1.0,0.36988510733184793
0.03,45,True,0.9910915266305065,1.0,0.36128969728943927
0.03,46,True,0.9965638088038371,1.0,0.43591820155985844
0.03,47,True,0.994593646658643,1.0,0.2816283441279598
0.03,48,True,0.9937076876255689,1.0,0.6997038162672067
0.03,49,True,0.990815448949209,1.0,0.5264140460658591
0.03,50,True,0.9949475764517905,1.0,0.5086228931025698
0.03,51,False,0.9966762742272742,0.9908423223242134,0.41190573742954095
0.1,42,True,0.9330631721715028,1.0,0.2806706935653796
0.1,43,True,0.9430473923726177,1.0,0.34366820049047203
0.1,44,True,0.9570686840636315,1.0,0.37394699405071086
0.1,45,True,0.8944539204304652,1.0,0.19452908988116893
0.1,46,True,0.9623888720237714,1.0,0.1763461963820184
0.1,47,False,0.9407003815910393,0.9057027317585623,0.3919304999561792
0.1,48,False,0.9334611407787616,0.524875197900191,0.259219202523104
0.1,49,False,0.9045170964612863,0.5800903024976928,0.5228627115734154
0.1,50,False,0.9497930429421594,0.6788579499525423,0.40498007988951157
0.1,51,False,0.9648635543302331,0.9006009379099872,0.3484413095904346
0.2,42,False,0.7499259514143705,0.8525462990873061,0.3835779315123244
0.2,43,False,0.791967186567377,0.599200770060696,0.2098050267632067
0.2,44,True,0.8349507571414408,1.0,0.31532274835708424
0.2,45,True,0.5919264128860561,1.0,0.16448575141287008
0.2,46,False,0.8555069248853665,0.7086983050892135,0.19368818642580787
0.2,47,False,0.7787732972547323,0.6548022495966827,0.15325144341877134
0.2,48,False,0.762575378455703,0.04392184722447998,0.16950040179898393
0.2,49,False,0.6681272689900143,0.17123095386105228,0.3060942618115473
0.2,50,False,0.8338436303461683,0.2835738804993327,0.568595983770981
0.2,51,False,0.8708998591834632,0.7228127022100399,0.1919007290741786
0.3,42,False,0.5417967162778979,0.4415221089957287,0.2929786521809318
0.3,43,False,0.591399300802365,0.40496586343790625,0.19140176481044222
0.3,44,True,0.6571417422680743,1.0,0.202283131261724
0.3,45,False,0.29048645498799924,0.9821865582281036,0.19481660955783572
0.3,46,False,0.6985440779597146,0.3757027329454028,0.21301571072553493
0.3,47,False,0.5610122183094944,0.3715933308871321,0.18340675919479923
0.3,48,False,0.5430375217441128,0.02324577947278794,0.0643664120039233
0.3,49,False,0.39143457303047313,0.15061817875167133,0.15084761146609557
0.3,50,False,0.6918148402835907,0.10816457736319848,0.5053908978637968
0.3,51,False,0.7379846804647385,0.49481488383011984,0.09921874528525457
0.5,42,False,0.24521732698014306,0.24732377001667213,0.2128185249750141
0.5,43,False,0.24784529340688286,0.19567747832744886,0.10876523290341074
0.5,44,False,0.27124602576354556,0.5903387857390645,0.2238415410083262
0.5,45,False,0.1415514391588355,0.35275626664883014,0.465575810326212
0.5,46,False,0.35791707984110727,0.07972182268805668,0.3138758250869965
0.5,47,False,0.16529837388128427,0.02938508298257688,0.2768064061550654
0.5,48,False,0.12900799094289753,0.6141986220953758,0.09581219126651244
0.5,49,False,0.05390359480422282,0.0689310053956922,0.40831474976106136
0.5,50,False,0.42273552452081553,0.003982147679971952,0.6659730045571478
0.5,51,False,0.4453182577025416,0.2838021181788208,0.0633366710429483
0.7,42,False,0.07200397274837328,0.10872674828312623,0.07547379623559043
0.7,43,False,0.11746293887544317,0.13118360673435955,0.12778192159818302
0.7,44,False,0.018177267426801872,0.41120371935703826,0.1940226828584074
0.7,45,False,0.11534528614906345,0.02758915523299932,0.1499785606117408
0.7,46,False,0.12811897058035218,0.028925178368873206,0.1763277671993596
0.7,47,False,-0.022377845837026122,0.0022794841639425805,0.19324923919351464
0.7,48,False,-0.09931209980037639,0.7483090371477163,0.20127275951263046
0.7,49,False,0.04325245206048019,0.07242201282707747,0.29149834271271075
0.7,50,False,0.229822630261639,0.0016783145230579246,0.27818282641321046
0.7,51,False,0.23316235242308878,0.26927819559576777,0.07202562186080685
1.0,42,False,0.0476880322940242,0.0011860429327413596,0.398298756865846
1.0,43,False,0.05457204915115939,0.020193759149171375,0.2102358804455125
1.0,44,False,-0.08937527715992256,0.050229809917102096,0.23448485400592006
1.0,45,False,-0.023707838640183717,0.03197371917493299,0.20119159719613983
1.0,46,False,-0.03247328865901944,0.1439559131182704,0.19565119924992463
1.0,47,False,-0.04318004153822985,0.007790116137865559,0.061749880646246966
1.0,48,False,-0.06295091308342836,0.14045134269886295,0.23840904440804192
1.0,49,False,5.2809321686499936e-05,0.04302072181208115,0.1711673841041819
1.0,50,False,0.17987742854802302,0.0009296625946913429,0.34448146870929114
1.0,51,False,0.09337452327044238,0.4326468939113332,0.2882714860758656
