seed,gamma_D_before,gamma_D_C_before,R_manifold_before,tangent_rank_before,eff_rank_before,ceiling_c
42,6.864029774423475,2.559261657258437,0.3728511882035644,125,98.27724172750378,0.7699481833315136
43,6.280799101063538,2.467304544332197,0.3928329030480221,125,95.33834602173923,0.4543196079017661
44,7.9868795545157045,2.2902949979183695,0.28675717247087557,125,98.8020263213338,0.04319320593572332
45,6.861010552812238,2.4896970894148818,0.36287614925681577,125,99.0988893115511,0.11496658552683504
46,9.021726585870937,2.1401805752864025,0.2372251647082912,125,97.33712064814486,0.07941296662155527
47,7.249268038825695,2.1505015002703205,0.29665084650652246,125,97.37940509802546,0.0012303076722928142
48,8.670334466177719,2.439401373754214,0.28135031967568536,125,95.71150627677525,0.011742169150528427
49,9.600069941975105,2.1628117663627138,0.22529125094246344,125,96.66282150154153,0.1863236767247911
50,8.363546683573368,2.432629889377815,0.2908610403473543,125,97.07522458374608,0.4598553290589732
51,8.087903790174952,1.6472628145033525,0.20366993194261526,125,97.44210831743673,0.43265641935246957
