seed,R_manifold_before,baseline_after,oracle_reduction,static_recovery,adaptive_recovery_mean,j_flipped
0,0.2553660565032852,1.4971451120849992,0.7882562313623386,0.98266355257431,5.946212057120191e-06,True
1,0.30727615280706494,3.293273382075718,1.443136403655734,0.01221675010951039,0.00459565329157517,True
2,0.2814625596728421,1.265327158051261,0.5059823251336525,0.636556287494697,0.05917697570878794,True
3,0.3527348748399563,1.8223132166787133,1.3253069394731938,0.09900072147672064,0.13320661263864464,True
4,0.40670187617172976,3.9051358413616035,2.7963590953142665,2.9706308860724188e-06,0.00012820565166645723,True
5,0.10689148165064288,2.135880333877914,0.921017322179295,0.32187852187292476,0.11931575403658981,True
6,0.2506444850789511,2.4929078016292237,1.337534481029406,0.31142636943613183,0.01992337385876692,True
7,0.07519362335677791,4.525583772246982,0.8796518846855164,0.007296160172576885,0.023288490749126763,True
8,0.3453255567109934,4.47037754523474,2.9983215754454964,0.10683246359392468,0.1910277244672836,True
9,0.36081799536575804,2.267809975101312,2.0302931485290396,0.005758674674933263,9.833464635096935e-06,True
