seed,target_norm,baseline_drift,optimized_drift,baseline_static_recovery,optimized_static_recovery,baseline_j_flipped,optimized_j_flipped
42,2.763383137366233,5.199936245972789,2.797108367512278e-14,0.004493009765514107,1.0,True,False
43,2.2246883412427136,5.71755677341826,1.4134815454149935e-14,0.03449994395164788,1.0,True,False
44,1.8947355050978374,5.395838318147277,1.7736351004301857e-14,0.003242894044313632,1.0,True,False
45,2.664841399666915,5.972222383592869,4.131033076208829,0.06898681165503813,0.0817593790270736,True,True
46,2.4499346733725424,5.920430873104538,1.9168898241093836e-14,0.3681077095005934,1.0,True,False
47,2.3435569213822567,5.688047945503708,0.00017869035233694636,0.5899591220448464,1.0,True,False
48,2.553885827717538,6.477501162064601,0.0001613371681885253,0.09843702947106264,1.0,True,False
49,2.250663586215337,5.1175545813187915,0.00028985059099681586,0.13178675865493356,1.0,True,False
50,2.0967834215677463,5.485899624530856,0.00025694831918467317,0.4015549560931487,1.0,True,False
51,2.4402970962958217,4.79160422284758,3.551364303496632,1.0,0.043176032036608074,False,True
