seed,condition,label,score
42,clean,0,3.5195177949584293
42,clean,0,3.89369316992015
42,clean,0,3.312384525936711
42,clean,0,4.034887206763474
42,clean,0,3.834344113569851
42,clean,0,4.252045167501115
42,clean,0,4.4157076821518295
42,clean,0,4.099600667679991
42,clean,0,3.9253078838235664
42,clean,0,4.077223487643585
42,clean,0,4.529678910796832
42,clean,0,3.737225248058536
42,clean,0,4.419366318599972
42,clean,0,3.89114197064989
42,clean,0,2.9628159409899473
42,random_direction,1,6.162906425230637
42,random_direction,1,5.961539640539945
42,random_direction,1,6.058978748862458
42,random_direction,1,6.153993852474425
42,random_direction,1,5.8507986546465585
42,random_direction,1,5.278820414383177
42,random_direction,1,5.948768833643666
42,random_direction,1,6.207807088483117
42,random_direction,1,5.753310324957339
42,random_direction,1,5.749465597568392
42,random_direction,1,5.242285106354602
42,random_direction,1,5.853323426963243
42,random_direction,1,5.814128418282973
42,random_direction,1,5.875672603256215
42,random_direction,1,6.055381497219301
42,white_box_optimized,1,3.654765490877977
42,white_box_optimized,1,3.8068127187393417
42,white_box_optimized,1,3.603346755977209
42,white_box_optimized,1,3.989794741481316
42,white_box_optimized,1,3.939972958907367
42,white_box_optimized,1,4.324608567694984
42,white_box_optimized,1,3.835742240736446
42,white_box_optimized,1,3.638992190200342
42,white_box_optimized,1,3.5930464318524824
42,white_box_optimized,1,3.558825331138198
42,white_box_optimized,1,3.684626090571912
42,white_box_optimized,1,3.8371226839951036
42,white_box_optimized,1,4.188596449856674
42,white_box_optimized,1,3.613554005723303
42,white_box_optimized,1,3.8369153434358916
43,clean,0,4.187619363734348
43,clean,0,3.9766310746226416
43,clean,0,3.7196254070029773
43,clean,0,4.007840119645635
43,clean,0,4.010678478155623
43,clean,0,3.3256148156197822
43,clean,0,3.6069295513142854
43,clean,0,4.13227025575409
43,clean,0,3.7082239747841355
43,clean,0,3.670754653225419
43,clean,0,3.2031367130295
43,clean,0,4.279832936153772
43,clean,0,4.466249004962138
43,clean,0,3.7827346152961594
43,clean,0,3.631802792040816
43,random_direction,1,5.69451755392491
43,random_direction,1,6.816694723793548
43,random_direction,1,6.631802850826859
43,random_direction,1,6.2995926155291935
43,random_direction,1,6.140670703885593
43,random_direction,1,6.454587027701239
43,random_direction,1,6.535383140774529
43,random_direction,1,5.673155937035867
43,random_direction,1,6.4811603226527135
43,random_direction,1,6.434299923963801
43,random_direction,1,6.360964484003856
43,random_direction,1,6.0974875443101535
43,random_direction,1,6.310044603279632
43,random_direction,1,6.443163917154464
43,random_direction,1,6.253929245359445
43,white_box_optimized,1,3.974862413982106
43,white_box_optimized,1,3.7102698290496128
43,white_box_optimized,1,3.788891065917885
43,white_box_optimized,1,4.383796448031947
43,white_box_optimized,1,3.563328825546143
43,white_box_optimized,1,4.050728887059792
43,white_box_optimized,1,3.738672249417304
43,white_box_optimized,1,3.6621529804327073
43,white_box_optimized,1,3.2391164482206807
43,white_box_optimized,1,3.9353918364788703
43,white_box_optimized,1,3.9133390019957135
43,white_box_optimized,1,3.870309249268333
43,white_box_optimized,1,3.8707141905770697
43,white_box_optimized,1,3.937241905599516
43,white_box_optimized,1,3.9713177887425815
44,clean,0,3.4391636042003033
44,clean,0,3.5263425520233715
44,clean,0,3.803659416684429
44,clean,0,3.8393890479173476
44,clean,0,3.831771248843047
44,clean,0,3.8929920073509185
44,clean,0,4.031658886962896
44,clean,0,3.785711873213301
44,clean,0,4.201377815717195
44,clean,0,3.9353869091091025
44,clean,0,3.7487805133220315
44,clean,0,3.827538603881758
44,clean,0,3.526446032755947
44,clean,0,3.895361645119194
44,clean,0,3.8238720610418224
44,random_direction,1,6.198503303124551
44,random_direction,1,7.086865925113349
44,random_direction,1,6.520558512312769
44,random_direction,1,6.796635737344751
44,random_direction,1,6.912153727786528
44,random_direction,1,6.466316211115968
44,random_direction,1,6.208535875955813
44,random_direction,1,6.540071167552656
44,random_direction,1,6.511613497540448
44,random_direction,1,7.235507957112774
44,random_direction,1,6.442959068726042
44,random_direction,1,6.917180557965771
44,random_direction,1,6.787302650267098
44,random_direction,1,6.26528290153746
44,random_direction,1,6.955548172941915
44,white_box_optimized,1,3.254656015546568
44,white_box_optimized,1,3.75561568503849
44,white_box_optimized,1,3.6914146056329984
44,white_box_optimized,1,4.45217576208341
44,white_box_optimized,1,4.015884920471926
44,white_box_optimized,1,4.175220521349373
44,white_box_optimized,1,4.024015542633933
44,white_box_optimized,1,3.7295048227556187
44,white_box_optimized,1,3.46016801554263
44,white_box_optimized,1,3.983179648129998
