seed,condition,label,score
42,clean,0,3.720102978965261
42,clean,0,3.848764253924271
42,clean,0,4.097139478875457
42,clean,0,3.5075664726816402
42,clean,0,3.542712117875961
42,clean,0,3.434803816891901
42,clean,0,3.3545473019718792
42,clean,0,3.9069154064514566
42,clean,0,3.7127048564888887
42,clean,0,3.6143036718914057
42,clean,0,3.6406251688422246
42,clean,0,4.389623953239327
42,clean,0,3.70294821143933
42,clean,0,3.7717582633163964
42,clean,0,4.059243578296552
42,random_direction,1,6.339353696393327
42,random_direction,1,5.704491791610236
42,random_direction,1,5.9896480275916915
42,random_direction,1,6.091419917029433
42,random_direction,1,6.142322907389403
42,random_direction,1,5.746903627148503
42,random_direction,1,6.049355668561759
42,random_direction,1,6.3094769681039535
42,random_direction,1,6.271674064368003
42,random_direction,1,6.212399463299555
42,random_direction,1,6.254989692970287
42,random_direction,1,5.6119853526140915
42,random_direction,1,6.612940360616249
42,random_direction,1,6.489032625250544
42,random_direction,1,5.934052039740295
42,constrained_optimized,1,5.749569909413314
42,constrained_optimized,1,6.137974896292467
42,constrained_optimized,1,5.864259648350904
42,constrained_optimized,1,6.17813569758492
42,constrained_optimized,1,6.39716070704319
42,constrained_optimized,1,6.1701800736989085
42,constrained_optimized,1,5.364968831477462
42,constrained_optimized,1,5.715454150628196
42,constrained_optimized,1,6.083168354971979
42,constrained_optimized,1,6.371211827854958
42,constrained_optimized,1,5.8043890559151174
42,constrained_optimized,1,6.6803918652112495
42,constrained_optimized,1,5.695243403592214
42,constrained_optimized,1,5.760576466980856
42,constrained_optimized,1,6.353528243869759
43,clean,0,4.083951578928514
43,clean,0,4.371780281259746
43,clean,0,3.8906618758430107
43,clean,0,3.306866870151513
43,clean,0,4.159429546978738
43,clean,0,3.8208711691761432
43,clean,0,4.3422372360387875
43,clean,0,3.643040803951365
43,clean,0,4.1311795268016835
43,clean,0,3.4126813481714366
43,clean,0,4.104421695883074
43,clean,0,4.25935280013516
43,clean,0,3.9190277746480375
43,clean,0,4.162653068223013
43,clean,0,4.109789632783424
43,random_direction,1,7.286665670850573
43,random_direction,1,5.553104068715382
43,random_direction,1,5.465174575695961
43,random_direction,1,6.328898853641962
43,random_direction,1,6.7118621192749455
43,random_direction,1,6.250805152667578
43,random_direction,1,6.005790512861554
43,random_direction,1,6.408028255309484
43,random_direction,1,6.783938615087685
43,random_direction,1,6.379374140869151
43,random_direction,1,6.34088727593623
43,random_direction,1,6.962825376282182
43,random_direction,1,6.090448951565645
43,random_direction,1,5.842963234714023
43,random_direction,1,6.036852003316673
43,constrained_optimized,1,5.352709342660618
43,constrained_optimized,1,6.006072974217927
43,constrained_optimized,1,6.0094372368830715
43,constrained_optimized,1,6.028084907060589
43,constrained_optimized,1,6.044828947086456
43,constrained_optimized,1,5.71624368740471
43,constrained_optimized,1,5.969930226646222
43,constrained_optimized,1,6.005890104815136
43,constrained_optimized,1,5.8101365432831935
43,constrained_optimized,1,5.972626196740609
43,constrained_optimized,1,5.190050282701792
43,constrained_optimized,1,6.255295464413903
43,constrained_optimized,1,4.616431915294912
43,constrained_optimized,1,6.005925881794243
43,constrained_optimized,1,5.923746073641326
44,clean,0,4.186766769301719
44,clean,0,3.998898321928654
44,clean,0,3.6434628198064356
44,clean,0,3.463741729645075
44,clean,0,3.3921955155732757
44,clean,0,3.4437014972395525
44,clean,0,3.8665926034580242
44,clean,0,3.9667263045147623
44,clean,0,4.250140478384563
44,clean,0,3.717253199796789
44,clean,0,3.657883598850056
44,clean,0,3.978395586486925
44,clean,0,3.8377119204295513
44,clean,0,4.428134136391122
44,clean,0,4.255039465625466
44,random_direction,1,6.636559113672066
44,random_direction,1,6.33431172810367
44,random_direction,1,6.546647287330418
44,random_direction,1,5.9651095974712804
44,random_direction,1,6.195609323333361
44,random_direction,1,7.073599849927472
44,random_direction,1,6.093197958668448
44,random_direction,1,6.081424714532088
44,random_direction,1,7.072906448981472
44,random_direction,1,6.742267814578839
