seed,R_manifold_before,j_flipped,static_recovery,adaptive_recovery
42,0.7083799155862194,True,0.017057159286916476,0.6351022196157627
43,0.6676480631822769,True,0.0489956174986696,0.4128282007989038
44,0.6246617310379451,True,0.25693566333524176,0.17569890814887304
45,0.6408777817699376,True,0.16689073181532407,0.16912838573261332
46,0.6031255333877523,True,0.02529009377551135,0.1704978939048032
47,0.56713165948341,True,0.9357932815720275,0.20110187501415014
48,0.6746376256527338,True,0.08764072103801325,0.3207314733632864
49,0.6357441869637052,True,0.03048943925818786,0.13012506373398477
50,0.6654053935842582,True,0.4316227021852555,0.27695092483057354
51,0.5994265067793393,True,0.5916471942105017,0.4195742889825433
