seed,null_dim,unitary_err,diag_drift_maxabs,offdiag_change_maxabs,R_manifold_before,j_flipped,static_recovery,adaptive_recovery
42,225,4.441065042390502e-16,0.020249224240802638,0.03833522970260801,0.3728511882035644,True,0.26798667461321735,0.45275765287434283
43,225,2.2205573395352126e-16,0.02183674783817295,0.039175206883497356,0.3928329030480221,True,0.3371938851743938,0.43587635058986435
44,225,4.441306076053351e-16,0.051035968387356016,0.05143125751177674,0.28675717247087557,True,0.5880253809707315,0.4460791957679393
45,225,4.441015663246344e-16,0.04108429793395945,0.04108429793395945,0.36287614925681577,True,0.44791358629738914,0.2625636461202215
46,225,4.440964032635855e-16,0.025266950538198024,0.039009322635462265,0.2372251647082912,True,0.13426681569883098,0.356876516474289
47,225,5.551268470675547e-16,0.03091882652134411,0.03091882652134411,0.29665084650652246,True,0.5563735366164434,0.45726946192752554
48,225,4.441143456434923e-16,0.04309527891295964,0.04927222154576018,0.28135031967568536,True,0.25307822401258073,0.48694949040845337
49,225,4.440931961428212e-16,0.03673061368078391,0.042834684398907016,0.22529125094246344,True,0.0017528928338864608,0.320994605899363
50,225,4.441137511283389e-16,0.03749967395956907,0.04677285290085322,0.2908610403473543,True,0.12857379247680256,0.5528396805862167
51,225,2.2237448866256377e-16,0.03977016622407437,0.03977016622407437,0.20366993194261526,True,0.14306953188264007,0.3231617454756237
