seed,noise_p,zz_scale,condition,label,delta_pilot
46,0.0,0.15,zz_scale_0.15,1,4.477249350093464
46,0.0,0.15,zz_scale_0.15,1,4.48756664341675
46,0.0,0.15,zz_scale_0.15,1,4.306118408501366
46,0.0,0.15,zz_scale_0.15,1,4.277398339216751
46,0.0,0.15,zz_scale_0.15,1,4.2540162819198075
46,0.0,0.15,zz_scale_0.15,1,4.051040124132348
46,0.0,0.15,zz_scale_0.15,1,3.7330880068899495
46,0.0,0.15,zz_scale_0.15,1,4.214567837894365
46,0.0,0.15,zz_scale_0.15,1,3.5735054005951974
46,0.0,0.15,zz_scale_0.15,1,3.9042481447052966
46,0.0,0.15,zz_scale_0.15,1,4.444007749389909
46,0.0,0.15,zz_scale_0.15,1,3.854662813204364
46,0.0,0.15,zz_scale_0.15,1,3.2377881203207757
46,0.0,0.3,zz_scale_0.3,1,4.922628664864014
46,0.0,0.3,zz_scale_0.3,1,4.550157511892139
46,0.0,0.3,zz_scale_0.3,1,4.595373702353818
46,0.0,0.3,zz_scale_0.3,1,3.979915115772672
46,0.0,0.3,zz_scale_0.3,1,4.695191341710177
46,0.0,0.3,zz_scale_0.3,1,4.857464443486279
46,0.0,0.3,zz_scale_0.3,1,4.947209996023772
46,0.0,0.3,zz_scale_0.3,1,4.346852574394549
46,0.0,0.3,zz_scale_0.3,1,4.8502420182899275
46,0.0,0.3,zz_scale_0.3,1,4.853790584888463
46,0.0,0.3,zz_scale_0.3,1,4.8564537459526465
46,0.0,0.3,zz_scale_0.3,1,4.910772321691121
46,0.0,0.3,zz_scale_0.3,1,5.109349722828741
46,0.0,0.3,zz_scale_0.3,1,4.377968454632854
46,0.0,0.3,zz_scale_0.3,1,4.584308915013939
46,0.01,,clean,0,4.1483592642335525
46,0.01,,clean,0,3.5481679362198677
46,0.01,,clean,0,3.923565224361707
46,0.01,,clean,0,3.9038826583260797
46,0.01,,clean,0,3.4909634678132124
46,0.01,,clean,0,3.8454050049808437
46,0.01,,clean,0,3.7659996609435504
46,0.01,,clean,0,3.6988626333402674
46,0.01,,clean,0,3.8701950589600806
46,0.01,,clean,0,3.764773772924485
46,0.01,,clean,0,3.971982902860091
46,0.01,,clean,0,3.706915346474113
46,0.01,,clean,0,3.7485279432231033
46,0.01,,clean,0,4.123456318096445
46,0.01,,clean,0,4.1539420172753525
46,0.01,0.05,zz_scale_0.05,1,4.117035258397471
46,0.01,0.05,zz_scale_0.05,1,3.8903943323455388
46,0.01,0.05,zz_scale_0.05,1,3.8030769726138534
46,0.01,0.05,zz_scale_0.05,1,3.685691923686022
46,0.01,0.05,zz_scale_0.05,1,4.131417684337692
