seed,condition,label,score_manifold,score_naive_offdiag,score_trace_distance
42,clean,0,4.162111793483294,7.284317290461275,0.243939318550222
42,clean,0,3.954241026890327,7.0022144010221705,0.26868924558980734
42,clean,0,3.916245021857389,7.24429991257734,0.25820548327164194
42,clean,0,3.7063710031676416,7.258461309096656,0.256017896820955
42,clean,0,3.987848852503279,7.261488059954902,0.2622177078862653
42,clean,0,3.969659061324159,7.791521450033523,0.27446939989536856
42,clean,0,3.781990353027623,7.72299014096411,0.2592591662275543
42,clean,0,4.165895268756134,7.559203694206505,0.259559247325286
42,clean,0,3.589614326125301,6.772806969338514,0.25083754400324076
42,clean,0,4.1788910551047325,7.592304370425656,0.2758170941217381
42,clean,0,4.366387841004149,7.74900857494999,0.2847682046024752
42,clean,0,4.300736011461507,7.513291907275022,0.3034127117958753
42,clean,0,3.5954661559046865,7.148905132206243,0.28673001980793034
42,clean,0,3.8103162972851243,7.173405462285652,0.26114982900472106
42,clean,0,3.6617675964095433,6.958226524721385,0.2568097500857059
42,zz_scale_0.05,1,3.6923587224134424,6.875204032023005,0.2653374735619719
42,zz_scale_0.05,1,3.978183340784522,7.079096485651017,0.28263946280269553
42,zz_scale_0.05,1,4.172732736934081,7.658992789118239,0.28538201401894187
42,zz_scale_0.05,1,3.6490394616161015,7.6215486301378945,0.2675079403481217
42,zz_scale_0.05,1,4.042845465723722,7.223717301955097,0.28180550925203435
42,zz_scale_0.05,1,3.6094430098044104,7.531055594764737,0.29225446960200163
42,zz_scale_0.05,1,3.8141186137547494,7.4416838520801845,0.30242497086340586
42,zz_scale_0.05,1,4.153439816113143,7.634406232844803,0.28340901335978597
42,zz_scale_0.05,1,3.8820778063249843,6.712168659958433,0.2616852225615647
42,zz_scale_0.05,1,4.23570583467984,6.95078227125439,0.2719523057303154
42,zz_scale_0.05,1,3.978946395099886,7.315716902462002,0.2635952550774282
42,zz_scale_0.05,1,3.8178307474565076,6.867413299733496,0.261929168349307
42,zz_scale_0.05,1,4.62214138285621,7.649556598830816,0.2653697890717022
42,zz_scale_0.05,1,4.3968798759455225,7.866433013628068,0.28453210005929447
42,zz_scale_0.05,1,3.884056892997295,7.219801073777247,0.277106383850365
42,zz_scale_0.15,1,4.340893908372354,7.454184235306706,0.2899598398320322
42,zz_scale_0.15,1,4.299929903368106,7.462954949237363,0.2898401531997253
42,zz_scale_0.15,1,4.887069548424445,8.187450941406086,0.30513739679425134
42,zz_scale_0.15,1,3.766457932376507,6.91329448129727,0.2851057298380248
42,zz_scale_0.15,1,4.816441065288964,7.634975684095711,0.28639058253257865
42,zz_scale_0.15,1,3.9703622134716174,7.296287178405998,0.2848406332821759
42,zz_scale_0.15,1,4.145280361267231,7.490886049402522,0.2855527864274018
42,zz_scale_0.15,1,3.961964131073226,7.395263930684232,0.290987127070923
42,zz_scale_0.15,1,5.2188574052360535,8.006646507587867,0.32965236261033776
42,zz_scale_0.15,1,4.519460019379422,8.17239437776715,0.2872351772516706
42,zz_scale_0.15,1,4.180954491882984,7.933805741223682,0.29358013201853694
42,zz_scale_0.15,1,4.5941971681707665,7.667231509509014,0.31655830822963915
42,zz_scale_0.15,1,4.073169471870232,7.833069210427797,0.30229843764510933
42,zz_scale_0.15,1,3.6470548775939293,7.459274900292761,0.2944792965312061
42,zz_scale_0.15,1,4.0286399041974095,7.838394403208038,0.29502896102414744
42,zz_scale_0.3,1,5.601716551148829,8.6581334547864,0.3870660969429794
42,zz_scale_0.3,1,5.12645369298931,9.101085095609411,0.36800355778723753
