seed,scale,tau_gate,mean_delta_pilot,gate_fire_rate,static_recovery,adaptive_recovery,gated_recovery,best_of_static_adaptive
42,0.01,4.184135424554498,3.8717332641142357,0.1,1.0,0.3461991610839216,0.9001178458922517,1.0
42,0.03,4.184135424554498,3.8910530793773916,0.3,1.0,0.30473081468354357,0.8129018407466091,1.0
42,0.1,4.184135424554498,4.2482968117858935,0.4,1.0,0.45288345589433315,0.814343993673526,1.0
42,0.2,4.184135424554498,4.71673941387491,0.9,0.8525462990873061,0.3271784078156269,0.38957871110522174,0.8525462990873061
42,0.3,4.184135424554498,4.961208189396032,1.0,0.4415221089957287,0.2224937494662526,0.2224937494662526,0.4415221089957287
42,0.5,4.184135424554498,5.651206097069757,1.0,0.24732377001667213,0.12150008911201222,0.12150008911201222,0.24732377001667213
42,0.7,4.184135424554498,6.031586586207512,1.0,0.10872674828312623,0.0815992029040949,0.0815992029040949,0.10872674828312623
42,1.0,4.184135424554498,5.981033749643029,1.0,0.0011860429327413596,0.20080686171050682,0.20080686171050682,0.20080686171050682
43,0.01,4.484032582759433,3.967747609171931,0.1,1.0,0.4437191968317295,0.9414146703364246,1.0
43,0.03,4.484032582759433,3.8522031722039833,0.0,1.0,0.47902985885904703,1.0,1.0
43,0.1,4.484032582759433,4.288758881826791,0.2,1.0,0.32472936758999277,0.8551329412817743,1.0
43,0.2,4.484032582759433,4.885846189172083,0.7,0.599200770060696,0.11401168384655407,0.2496115135769971,0.599200770060696
43,0.3,4.484032582759433,5.357319795034654,1.0,0.40496586343790625,0.17555614080033105,0.17555614080033105,0.40496586343790625
43,0.5,4.484032582759433,6.311182031192278,1.0,0.19567747832744886,0.1634148003388371,0.1634148003388371,0.19567747832744886
43,0.7,4.484032582759433,6.18760019785317,1.0,0.13118360673435955,0.05456758084756898,0.05456758084756898,0.13118360673435955
43,1.0,4.484032582759433,6.309104498450436,1.0,0.020193759149171375,0.12126347718314937,0.12126347718314937,0.12126347718314937
44,0.01,4.3566702149762575,3.8586820444995977,0.1,1.0,0.47323641898188484,0.9494931787414348,1.0
44,0.03,4.3566702149762575,3.978278950638156,0.1,1.0,0.409380129720872,0.9019941120474778,1.0
44,0.1,4.3566702149762575,4.150041898285255,0.2,1.0,0.28452508749008026,0.8430739227605286,1.0
44,0.2,4.3566702149762575,4.708945453354009,0.9,1.0,0.25419274572755746,0.31463100563336466,1.0
44,0.3,4.3566702149762575,5.072599982194327,1.0,1.0,0.08734864843886814,0.08734864843886814,1.0
44,0.5,4.3566702149762575,5.711961228320122,1.0,0.5903387857390645,0.20273992974421504,0.20273992974421504,0.5903387857390645
44,0.7,4.3566702149762575,5.816325157761659,1.0,0.41120371935703826,0.14954383311195282,0.14954383311195282,0.41120371935703826
44,1.0,4.3566702149762575,6.433956290387533,1.0,0.050229809917102096,0.04425328621857919,0.04425328621857919,0.050229809917102096
45,0.01,4.303365411564496,3.7728205351331083,0.0,1.0,0.5164976080041532,1.0,1.0
45,0.03,4.303365411564496,3.789582133082238,0.0,1.0,0.406130212875802,1.0,1.0
45,0.1,4.303365411564496,4.144228554991466,0.3,1.0,0.45505851999280766,0.9158281832579928,1.0
45,0.2,4.303365411564496,4.530457269072317,0.9,1.0,0.2078908361577257,0.30178361416030547,1.0
45,0.3,4.303365411564496,5.175711407244532,1.0,0.9821865582281036,0.21954833010609906,0.21954833010609906,0.9821865582281036
45,0.5,4.303365411564496,5.7759851394396415,1.0,0.35275626664883014,0.18893303058506478,0.18893303058506478,0.35275626664883014
45,0.7,4.303365411564496,6.105210002892591,1.0,0.02758915523299932,0.10708268574885708,0.10708268574885708,0.10708268574885708
45,1.0,4.303365411564496,6.287605081627651,1.0,0.03197371917493299,0.20149066433272225,0.20149066433272225,0.20149066433272225
46,0.01,4.269307444245071,3.745580751830045,0.1,1.0,0.27103447827426663,0.9047999641030463,1.0
46,0.03,4.269307444245071,3.9993785595189335,0.2,1.0,0.2857432509930163,0.8534326711585869,1.0
46,0.1,4.269307444245071,3.911723191648746,0.2,1.0,0.3189534164402702,0.8825758863658688,1.0
46,0.2,4.269307444245071,4.376018110745372,0.5,0.7086983050892135,0.29961488537056796,0.5349854971286896,0.7086983050892135
46,0.3,4.269307444245071,4.638605867020834,0.8,0.3757027329454028,0.24478421127070388,0.24076717565612293,0.3757027329454028
46,0.5,4.269307444245071,5.520644153589011,1.0,0.07972182268805668,0.332495210447165,0.332495210447165,0.332495210447165
46,0.7,4.269307444245071,5.651995400100912,1.0,0.028925178368873206,0.28865823928569845,0.28865823928569845,0.28865823928569845
46,1.0,4.269307444245071,6.285594009528859,1.0,0.1439559131182704,0.22397660482765178,0.22397660482765178,0.22397660482765178
47,0.01,4.187296160391424,3.796739846275584,0.0,1.0,0.3910294232148804,1.0,1.0
47,0.03,4.187296160391424,3.8089591654254087,0.1,1.0,0.3884120740903686,0.9804614600775083,1.0
47,0.1,4.187296160391424,3.9763453452178497,0.3,0.9057027317585623,0.3817869983720048,0.7355002214768216,0.9057027317585623
47,0.2,4.187296160391424,4.847532377476413,1.0,0.6548022495966827,0.13070408875166423,0.13070408875166423,0.6548022495966827
47,0.3,4.187296160391424,5.308378914721823,1.0,0.3715933308871321,0.11347629581806373,0.11347629581806373,0.3715933308871321
47,0.5,4.187296160391424,6.133443035813783,1.0,0.02938508298257688,0.2573227506097414,0.2573227506097414,0.2573227506097414
47,0.7,4.187296160391424,6.2505873818814575,1.0,0.0022794841639425805,0.23166194755092748,0.23166194755092748,0.23166194755092748
47,1.0,4.187296160391424,6.398460637132361,1.0,0.007790116137865559,0.02664338067630681,0.02664338067630681,0.02664338067630681
48,0.01,4.169896497209124,3.7120282532907454,0.2,1.0,0.469068549054741,0.9124049472701031,1.0
48,0.03,4.169896497209124,3.868961003638031,0.2,1.0,0.5495385846492092,0.9013926819434399,1.0
48,0.1,4.169896497209124,4.241229288198349,0.5,0.524875197900191,0.4117576998325254,0.4009902859249216,0.524875197900191
48,0.2,4.169896497209124,4.686737287579001,1.0,0.04392184722447998,0.16627813966553875,0.16627813966553875,0.16627813966553875
48,0.3,4.169896497209124,5.320639768486361,1.0,0.02324577947278794,0.3430301357257846,0.3430301357257846,0.3430301357257846
48,0.5,4.169896497209124,6.123225641325509,1.0,0.6141986220953758,0.07687029093447395,0.07687029093447395,0.6141986220953758
48,0.7,4.169896497209124,6.566161978324914,1.0,0.7483090371477163,0.16784567414972443,0.16784567414972443,0.7483090371477163
48,1.0,4.169896497209124,6.284858125404742,1.0,0.14045134269886295,0.09698579967747492,0.09698579967747492,0.14045134269886295
49,0.01,4.477353147871731,3.8455545599808274,0.0,1.0,0.3912850251735703,1.0,1.0
49,0.03,4.477353147871731,3.710893512634891,0.0,1.0,0.40218048705248577,1.0,1.0
49,0.1,4.477353147871731,4.3168059419173215,0.3,0.5800903024976928,0.43940540379124027,0.6293379984137273,0.5800903024976928
49,0.2,4.477353147871731,4.947496010753019,0.9,0.17123095386105228,0.31350007208145547,0.2941126560257067,0.31350007208145547
49,0.3,4.477353147871731,5.5903952283196805,1.0,0.15061817875167133,0.09103619633306308,0.09103619633306308,0.15061817875167133
49,0.5,4.477353147871731,6.124107525946044,1.0,0.0689310053956922,0.15881966876068596,0.15881966876068596,0.15881966876068596
49,0.7,4.477353147871731,6.279481913016429,1.0,0.07242201282707747,0.3202447469340886,0.3202447469340886,0.3202447469340886
49,1.0,4.477353147871731,5.926705545637293,1.0,0.04302072181208115,0.15905909909731683,0.15905909909731683,0.15905909909731683
50,0.01,4.243064303512246,3.8353074410806074,0.1,1.0,0.5530826743430751,0.945325220055105,1.0
50,0.03,4.243064303512246,4.039739763154731,0.3,1.0,0.6062149594120448,0.8913455279419674,1.0
50,0.1,4.243064303512246,3.9695227888779443,0.1,0.6788579499525423,0.36827273898751717,0.6788579499525423,0.6788579499525423
50,0.2,4.243064303512246,4.168149498018339,0.5,0.2835738804993327,0.3585952107760383,0.3788892103695416,0.3585952107760383
50,0.3,4.243064303512246,4.797801129786654,0.8,0.10816457736319848,0.4227690359400734,0.3306384205997229,0.4227690359400734
50,0.5,4.243064303512246,5.511670953127797,1.0,0.003982147679971952,0.4507233869930153,0.4507233869930153,0.4507233869930153
50,0.7,4.243064303512246,5.551035404289054,1.0,0.0016783145230579246,0.26570683663890327,0.26570683663890327,0.26570683663890327
50,1.0,4.243064303512246,5.951381373690831,1.0,0.0009296625946913429,0.24289173316287513,0.24289173316287513,0.24289173316287513
51,0.01,4.380355031417744,3.8806934465978786,0.0,1.0,0.17552609077549336,1.0,1.0
51,0.03,4.380355031417744,4.0115555328908306,0.0,0.9908423223242134,0.49281425681135066,0.9908423223242135,0.9908423223242134
51,0.1,4.380355031417744,4.05473161101097,0.2,0.9006009379099872,0.4481044995194677,0.7759076478612712,0.9006009379099872
51,0.2,4.380355031417744,4.283380972846841,0.3,0.7228127022100399,0.17907949605103085,0.5533581980108203,0.7228127022100399
51,0.3,4.380355031417744,4.793817025533302,0.8,0.49481488383011984,0.1758380252852833,0.24207441284974213,0.49481488383011984
51,0.5,4.380355031417744,5.510524635892322,1.0,0.2838021181788208,0.09144972182419546,0.09144972182419546,0.2838021181788208
51,0.7,4.380355031417744,5.820632427395138,1.0,0.26927819559576777,0.19155462457376204,0.19155462457376204,0.26927819559576777
51,1.0,4.380355031417744,5.704291551974704,1.0,0.4326468939113332,0.2642536499664194,0.2642536499664194,0.4326468939113332
