seed,condition,label,delta_pilot
42,clean,0,6.715843574193504
42,clean,0,6.213312452702318
42,clean,0,6.164929345884697
42,clean,0,6.491640116141538
42,clean,0,6.168908128676223
42,clean,0,6.4516871571446
42,clean,0,6.644325314090977
42,clean,0,6.883665587292172
42,clean,0,6.53773121611502
42,clean,0,6.71965524012099
42,clean,0,6.626797063941359
42,clean,0,6.565650078355688
42,clean,0,6.777808397422609
42,clean,0,6.6418342370669325
42,clean,0,6.738735084747321
42,zz_scale_0.05,1,6.744055977664274
42,zz_scale_0.05,1,6.689556192565715
42,zz_scale_0.05,1,7.586781481163125
42,zz_scale_0.05,1,6.587742698426506
42,zz_scale_0.05,1,7.410651937878272
42,zz_scale_0.05,1,5.8786785172670015
42,zz_scale_0.05,1,5.645506043482453
42,zz_scale_0.05,1,5.704379480715448
42,zz_scale_0.05,1,6.702705808084637
42,zz_scale_0.05,1,6.465204183110029
42,zz_scale_0.05,1,6.2708074224016865
42,zz_scale_0.05,1,6.817713304007536
42,zz_scale_0.05,1,6.959000812880119
42,zz_scale_0.05,1,6.521928745051798
42,zz_scale_0.05,1,6.314637847286608
42,zz_scale_0.15,1,7.21351736129208
42,zz_scale_0.15,1,6.611171147551192
42,zz_scale_0.15,1,6.511296692463853
42,zz_scale_0.15,1,6.720634149667431
42,zz_scale_0.15,1,6.888108967420924
42,zz_scale_0.15,1,6.9410538790306155
42,zz_scale_0.15,1,7.054809864062271
42,zz_scale_0.15,1,6.48865999590762
42,zz_scale_0.15,1,6.911220346093399
42,zz_scale_0.15,1,6.7664032642202825
42,zz_scale_0.15,1,7.615238484308653
42,zz_scale_0.15,1,6.6653020808196315
42,zz_scale_0.15,1,7.365594870755556
42,zz_scale_0.15,1,6.912008628029734
42,zz_scale_0.15,1,7.421467120842771
42,zz_scale_0.3,1,8.763826194219602
42,zz_scale_0.3,1,6.982551463851726
42,zz_scale_0.3,1,7.941410140524252
42,zz_scale_0.3,1,7.390280757022406
42,zz_scale_0.3,1,7.600423685870352
42,zz_scale_0.3,1,7.731408237003733
42,zz_scale_0.3,1,7.836172622608189
42,zz_scale_0.3,1,7.990201112016879
42,zz_scale_0.3,1,8.077662858827017
42,zz_scale_0.3,1,8.46584185370007
42,zz_scale_0.3,1,7.527265790020315
42,zz_scale_0.3,1,7.956650821222381
42,zz_scale_0.3,1,7.337248892370174
42,zz_scale_0.3,1,8.000875696768079
42,zz_scale_0.3,1,7.174110073533909
42,zz_scale_0.6,1,7.86781850839831
42,zz_scale_0.6,1,8.19430623743894
42,zz_scale_0.6,1,8.590278535299467
42,zz_scale_0.6,1,9.020914648402107
42,zz_scale_0.6,1,8.582507043237664
42,zz_scale_0.6,1,7.395400748886092
42,zz_scale_0.6,1,8.892136628923208
42,zz_scale_0.6,1,8.386315550510648
42,zz_scale_0.6,1,9.11697330197256
42,zz_scale_0.6,1,8.776900732051468
42,zz_scale_0.6,1,8.420788463916043
42,zz_scale_0.6,1,9.524172244158207
42,zz_scale_0.6,1,8.054724119601978
42,zz_scale_0.6,1,8.43646091383294
42,zz_scale_0.6,1,7.833992493215814
42,zz_scale_1.0,1,7.905094162516794
42,zz_scale_1.0,1,8.66643626056291
42,zz_scale_1.0,1,7.5600271282775715
42,zz_scale_1.0,1,8.354131077304018
42,zz_scale_1.0,1,8.863528499453263
42,zz_scale_1.0,1,8.308684202183432
42,zz_scale_1.0,1,8.13372582192234
42,zz_scale_1.0,1,7.841858977465914
42,zz_scale_1.0,1,8.754723498828781
42,zz_scale_1.0,1,9.52126304631468
42,zz_scale_1.0,1,8.650324024491347
42,zz_scale_1.0,1,8.387497583465473
42,zz_scale_1.0,1,8.144987631687757
42,zz_scale_1.0,1,8.065761773727743
42,zz_scale_1.0,1,8.791176660275632
42,z_only,1,9.602024669799428
42,z_only,1,7.82382175974746
42,z_only,1,8.309233638055517
42,z_only,1,8.497369181292632
42,z_only,1,9.200935433118257
42,z_only,1,9.035212140743257
42,z_only,1,9.277384944032418
42,z_only,1,8.87410883618234
42,z_only,1,9.140559773966078
42,z_only,1,9.192981744663705
42,z_only,1,8.735480369698578
42,z_only,1,9.010844719698737
42,z_only,1,8.527396256468078
42,z_only,1,9.393982969392393
42,z_only,1,8.646059692379307
43,clean,0,6.049795409979721
43,clean,0,6.47874359015103
43,clean,0,7.417643460502378
43,clean,0,5.760340190200004
43,clean,0,6.745459096697024
43,clean,0,6.507820158360862
43,clean,0,6.7698832813226595
43,clean,0,5.8695501375516175
43,clean,0,5.503978429339793
43,clean,0,6.3115068812308355
43,clean,0,7.280825884617229
43,clean,0,6.089559209431231
43,clean,0,6.853007415790148
43,clean,0,6.18562347592854
43,clean,0,5.77565662907099
43,zz_scale_0.05,1,6.07508768839268
43,zz_scale_0.05,1,5.98834993845007
43,zz_scale_0.05,1,6.4056051122398845
43,zz_scale_0.05,1,5.685355133796408
43,zz_scale_0.05,1,6.041697967324857
43,zz_scale_0.05,1,6.223216309138135
43,zz_scale_0.05,1,6.314091121226197
43,zz_scale_0.05,1,6.64023150818904
43,zz_scale_0.05,1,5.968205060379638
43,zz_scale_0.05,1,6.812683468689003
43,zz_scale_0.05,1,5.789810385924756
43,zz_scale_0.05,1,6.338142813047401
43,zz_scale_0.05,1,5.949067816988043
43,zz_scale_0.05,1,6.486643553599745
43,zz_scale_0.05,1,6.6031718885296655
43,zz_scale_0.15,1,7.3298292215637995
43,zz_scale_0.15,1,7.524204625155749
43,zz_scale_0.15,1,7.6512162692143075
43,zz_scale_0.15,1,6.6608168724924335
43,zz_scale_0.15,1,6.931958526004588
43,zz_scale_0.15,1,7.65884445921248
43,zz_scale_0.15,1,6.256423668758293
43,zz_scale_0.15,1,6.785167564393095
43,zz_scale_0.15,1,7.018474872657856
43,zz_scale_0.15,1,7.080986517160011
43,zz_scale_0.15,1,7.129289529726752
43,zz_scale_0.15,1,6.465270396936699
43,zz_scale_0.15,1,7.487021354899947
43,zz_scale_0.15,1,6.369645656829405
43,zz_scale_0.15,1,7.158884978342312
43,zz_scale_0.3,1,8.40476942393831
43,zz_scale_0.3,1,7.882604838341503
43,zz_scale_0.3,1,8.562238052399511
43,zz_scale_0.3,1,7.600181925307201
43,zz_scale_0.3,1,7.7113264086214794
43,zz_scale_0.3,1,7.500095525253987
43,zz_scale_0.3,1,8.567742786266658
43,zz_scale_0.3,1,8.394559309668228
43,zz_scale_0.3,1,6.96630697586162
43,zz_scale_0.3,1,7.678907260384801
43,zz_scale_0.3,1,7.883358282816595
43,zz_scale_0.3,1,7.93022557669082
43,zz_scale_0.3,1,8.08013067862378
43,zz_scale_0.3,1,8.074986692803895
43,zz_scale_0.3,1,7.893626913963034
43,zz_scale_0.6,1,9.125510231677225
43,zz_scale_0.6,1,8.955802605787
43,zz_scale_0.6,1,8.659950185084739
43,zz_scale_0.6,1,8.645133631176856
43,zz_scale_0.6,1,9.095190360926814
43,zz_scale_0.6,1,9.286608958009888
43,zz_scale_0.6,1,8.481978499762317
43,zz_scale_0.6,1,9.234342226718937
43,zz_scale_0.6,1,9.072642552578905
43,zz_scale_0.6,1,8.893289197443691
43,zz_scale_0.6,1,7.31853180412478
43,zz_scale_0.6,1,8.759427260289675
43,zz_scale_0.6,1,9.245840683408309
43,zz_scale_0.6,1,9.461444232484025
43,zz_scale_0.6,1,8.524701834572689
43,zz_scale_1.0,1,7.581069161589177
43,zz_scale_1.0,1,8.781534808216897
43,zz_scale_1.0,1,8.152201693323386
43,zz_scale_1.0,1,9.172580662393063
43,zz_scale_1.0,1,8.590595669357663
43,zz_scale_1.0,1,8.04351459274786
43,zz_scale_1.0,1,9.377712208508532
43,zz_scale_1.0,1,8.55855141257096
43,zz_scale_1.0,1,8.894253425898993
43,zz_scale_1.0,1,8.795155077774094
43,zz_scale_1.0,1,7.70133938002717
43,zz_scale_1.0,1,9.40070965431651
43,zz_scale_1.0,1,8.951125297464213
43,zz_scale_1.0,1,8.229501522376617
43,zz_scale_1.0,1,8.852903503934794
43,z_only,1,8.117262366423574
43,z_only,1,8.489347644990948
43,z_only,1,8.211716973365366
43,z_only,1,8.353472969527845
43,z_only,1,8.05551894813349
43,z_only,1,8.388075656445997
43,z_only,1,6.638252052222975
43,z_only,1,8.487353355941801
43,z_only,1,7.802673460284531
43,z_only,1,8.74754577333043
43,z_only,1,8.077797568333688
43,z_only,1,7.262029514058772
43,z_only,1,7.84094213694748
43,z_only,1,8.698832707955006
43,z_only,1,8.403498894165523
44,clean,0,6.520235548246096
44,clean,0,6.08294471996634
44,clean,0,6.730874205328684
44,clean,0,7.981749790007139
44,clean,0,6.412095017917978
44,clean,0,6.797084139629437
44,clean,0,6.834390013913383
44,clean,0,5.754911772288192
44,clean,0,6.190374507412635
44,clean,0,6.854956813041164
44,clean,0,7.388327039107715
44,clean,0,7.178776109344272
44,clean,0,6.150610448994685
44,clean,0,5.867398037567887
44,clean,0,6.953546574270863
44,zz_scale_0.05,1,6.060559306414516
44,zz_scale_0.05,1,6.354217704499262
44,zz_scale_0.05,1,6.244991717236305
44,zz_scale_0.05,1,5.994485963563248
44,zz_scale_0.05,1,5.8622547360572135
44,zz_scale_0.05,1,7.059709322202736
44,zz_scale_0.05,1,7.182996059711488
44,zz_scale_0.05,1,6.116757662880911
44,zz_scale_0.05,1,6.509026149057152
44,zz_scale_0.05,1,6.38206811383365
44,zz_scale_0.05,1,6.203527141675488
44,zz_scale_0.05,1,6.294172336579871
44,zz_scale_0.05,1,6.918030592334298
44,zz_scale_0.05,1,6.71802611802298
44,zz_scale_0.05,1,6.508139460721813
44,zz_scale_0.15,1,6.91444529328123
44,zz_scale_0.15,1,7.285157933500552
44,zz_scale_0.15,1,6.5726418772972
44,zz_scale_0.15,1,6.865124841933941
44,zz_scale_0.15,1,6.824003038033491
44,zz_scale_0.15,1,6.714888140686792
44,zz_scale_0.15,1,6.48306023022088
44,zz_scale_0.15,1,7.250951907658846
44,zz_scale_0.15,1,6.669179637203798
44,zz_scale_0.15,1,6.300579096863161
44,zz_scale_0.15,1,7.301885883935812
44,zz_scale_0.15,1,7.865601511082667
44,zz_scale_0.15,1,5.821325968166951
44,zz_scale_0.15,1,6.790277161175842
44,zz_scale_0.15,1,6.436049000307647
44,zz_scale_0.3,1,7.821825691958793
44,zz_scale_0.3,1,7.691574857473691
44,zz_scale_0.3,1,7.546872716152774
44,zz_scale_0.3,1,7.325975948355948
44,zz_scale_0.3,1,7.8034738463696875
44,zz_scale_0.3,1,7.766810269113073
44,zz_scale_0.3,1,7.084986518789494
44,zz_scale_0.3,1,7.51275563647082
44,zz_scale_0.3,1,8.214400688784739
44,zz_scale_0.3,1,7.297176665999556
44,zz_scale_0.3,1,7.428187884524068
44,zz_scale_0.3,1,7.564789720967114
44,zz_scale_0.3,1,6.941829188173871
44,zz_scale_0.3,1,7.493737553782792
44,zz_scale_0.3,1,7.736779954374453
44,zz_scale_0.6,1,8.589182964793032
44,zz_scale_0.6,1,8.153393994947331
44,zz_scale_0.6,1,9.434081717790274
44,zz_scale_0.6,1,8.755043889737331
44,zz_scale_0.6,1,8.743033335324853
44,zz_scale_0.6,1,8.542333806107568
44,zz_scale_0.6,1,8.88082469696907
44,zz_scale_0.6,1,7.865632832472983
44,zz_scale_0.6,1,8.283110385018626
44,zz_scale_0.6,1,8.409011127567272
44,zz_scale_0.6,1,8.476685272345623
44,zz_scale_0.6,1,7.793273276739203
44,zz_scale_0.6,1,8.423588788904608
44,zz_scale_0.6,1,8.349552355364015
44,zz_scale_0.6,1,8.141135001174984
44,zz_scale_1.0,1,9.066024459295074
44,zz_scale_1.0,1,8.993070697097727
44,zz_scale_1.0,1,9.29335390911028
44,zz_scale_1.0,1,8.901544945419525
44,zz_scale_1.0,1,8.61544052839326
44,zz_scale_1.0,1,8.191790786388898
44,zz_scale_1.0,1,9.050519061177416
44,zz_scale_1.0,1,8.14597044739554
44,zz_scale_1.0,1,9.078093932634104
44,zz_scale_1.0,1,8.451750680228653
44,zz_scale_1.0,1,8.539315196380747
44,zz_scale_1.0,1,9.340580612065837
44,zz_scale_1.0,1,8.683494462686166
44,zz_scale_1.0,1,9.373215329704875
44,zz_scale_1.0,1,8.424074289922645
44,z_only,1,8.514690674135808
44,z_only,1,9.063384595201795
44,z_only,1,8.62328471540383
44,z_only,1,8.450517909307166
44,z_only,1,8.886155923604825
44,z_only,1,9.924890714369065
44,z_only,1,9.049987256298023
44,z_only,1,8.496013642833127
44,z_only,1,8.040216495651064
44,z_only,1,8.340029180630987
44,z_only,1,8.022239587144341
44,z_only,1,8.624114239820868
44,z_only,1,7.789991986902571
44,z_only,1,8.69545376200844
44,z_only,1,8.801240649402976
45,clean,0,6.741996414009995
45,clean,0,6.334997009353909
45,clean,0,6.522774490165789
45,clean,0,5.411740543125091
45,clean,0,6.150376279445845
45,clean,0,7.374271487846497
45,clean,0,5.426548592965606
45,clean,0,6.799732695775707
45,clean,0,7.078530361645022
45,clean,0,6.907359984059219
45,clean,0,5.654329491563529
45,clean,0,6.470796771312026
45,clean,0,6.50929443571303
45,clean,0,6.637987540669946
45,clean,0,6.614505942344026
45,zz_scale_0.05,1,6.465932445322676
45,zz_scale_0.05,1,6.7064146129922575
45,zz_scale_0.05,1,6.825878566609389
45,zz_scale_0.05,1,6.555583421289095
45,zz_scale_0.05,1,6.13343555014579
45,zz_scale_0.05,1,7.218981322444493
45,zz_scale_0.05,1,7.194917659356818
45,zz_scale_0.05,1,6.0988710331437765
45,zz_scale_0.05,1,6.541727938672712
45,zz_scale_0.05,1,5.929316855638184
45,zz_scale_0.05,1,6.861388022437902
45,zz_scale_0.05,1,6.127938428304243
45,zz_scale_0.05,1,6.574109874648891
45,zz_scale_0.05,1,6.643152752328744
45,zz_scale_0.05,1,7.461744404908873
45,zz_scale_0.15,1,7.519638941750999
45,zz_scale_0.15,1,6.389597507860765
45,zz_scale_0.15,1,6.826520177303111
45,zz_scale_0.15,1,6.874568262021503
45,zz_scale_0.15,1,7.318929680228352
45,zz_scale_0.15,1,7.6712305808257994
45,zz_scale_0.15,1,8.432787703594858
45,zz_scale_0.15,1,6.855240240783019
45,zz_scale_0.15,1,7.601584694084645
45,zz_scale_0.15,1,6.63600260274793
45,zz_scale_0.15,1,7.456591705859174
45,zz_scale_0.15,1,7.091444793347237
45,zz_scale_0.15,1,6.490219951686068
45,zz_scale_0.15,1,7.770300667145619
45,zz_scale_0.15,1,7.694062911628872
45,zz_scale_0.3,1,8.171972099623513
45,zz_scale_0.3,1,7.947084180250537
45,zz_scale_0.3,1,7.858020121171252
45,zz_scale_0.3,1,7.70446385564109
45,zz_scale_0.3,1,8.499588184527834
45,zz_scale_0.3,1,8.033397946376784
45,zz_scale_0.3,1,8.072478346155199
45,zz_scale_0.3,1,7.711873307255707
45,zz_scale_0.3,1,7.596657371779634
45,zz_scale_0.3,1,7.807696805502754
