state_id,seed,stage,before_worst,ambient_dim,budget1_label,budget1_worst_after,budget1_cumulative_reduction_pct,budget2_label,budget2_worst_after,budget2_cumulative_reduction_pct,budget3_label,budget3_worst_after,budget3_cumulative_reduction_pct
bloodmnist_seed42_before,42,before,1.5574946474804257,63,IXZ,1.4659274688550794,5.879132796602246,IYX,1.38944259090548,10.789896250802862,YZZ,1.3349221100944408,14.290420692362737
bloodmnist_seed42_after,42,after,1.6093805231095368,63,IYX,1.5242030712568142,5.292561369398735,XII,1.4546575487545568,9.613821724152267,ZIX,1.4126278035578592,12.225369744846
bloodmnist_seed43_before,43,before,1.7019662907969004,63,YXI,1.6202645073578705,4.800434878224011,YZI,1.5562752422358526,8.560160641773457,YXZ,1.5014690022542412,11.780332526373465
bloodmnist_seed43_after,43,after,1.696185626393812,63,XZX,1.6289143548154994,3.9660324042089177,YYZ,1.5861583466839977,6.486747558622969,YZI,1.5353716703557043,9.480917273188275
bloodmnist_seed44_before,44,before,1.7216486039209824,63,IXY,1.623989075673177,5.6724425661188915,YYZ,1.5679129164120087,8.929562464654351,XYZ,1.5132435393510635,12.104971019944786
bloodmnist_seed44_after,44,after,1.4924419311345791,63,IZY,1.4423966797683725,3.35324613455221,YIZ,1.4013432523976839,6.104001558549117,YYX,1.3478683242457992,9.687050723566356
bloodmnist_seed45_before,45,before,1.4735629977141789,63,IYX,1.4225978522206706,3.4586336364693238,IZY,1.3938408958966493,5.410159045876976,XZY,1.3739161349724822,6.762307610619356
bloodmnist_seed45_after,45,after,1.5540499395969383,63,XXZ,1.491714329749384,4.01117160132716,IXX,1.4318005608106914,7.866502592442667,ZIX,1.3753925682606636,11.49624389693755
bloodmnist_seed46_before,46,before,1.741205714187217,63,IXX,1.6177849111228462,7.088237883596819,ZYX,1.5050775503099387,13.561187052932533,YZX,1.4468212081685712,16.90693429386444
bloodmnist_seed46_after,46,after,1.4166658184565386,63,IXZ,1.370613421854963,3.2507593535185153,ZZX,1.3118796961754933,7.396671883790498,YII,1.2832472626364653,9.417786049601537
bloodmnist_seed47_before,47,before,1.599492458276877,63,ZXZ,1.5201874816303003,4.958133827777563,XIY,1.4510262192019363,9.282084345360555,XIX,1.3854088891518543,13.384468805539324
bloodmnist_seed47_after,47,after,1.5951435200402253,63,IYZ,1.514025950977983,5.085283427048417,ZIX,1.4398250710471299,9.736957649376823,IXI,1.3782250596482737,13.598679847094983
bloodmnist_seed48_before,48,before,1.6377931756040967,63,ZYI,1.532363098832384,6.437325441463328,ZXI,1.468488240439105,10.337381892102695,YIY,1.4447592345204567,11.786222091958573
bloodmnist_seed48_after,48,after,1.813279706937615,63,ZXZ,1.6721012900333319,7.785804714194615,IYZ,1.5832559011322895,12.685511503010458,IXX,1.5320823261739442,15.50766711212884
bloodmnist_seed49_before,49,before,1.6659900180403449,63,ZIX,1.4938649976856253,10.331695777936602,IXX,1.4361106953048373,13.798361349482027,XYY,1.3813663415841821,17.084356651245557
bloodmnist_seed49_after,49,after,1.7562938284709375,63,ZZY,1.6215745424606116,7.670657598769509,IXX,1.5234510468095182,13.257621127333612,ZIY,1.4408142586884976,17.9628012504663
bloodmnist_seed50_before,50,before,1.7197647385294135,63,YZX,1.570144091238486,8.700064836709547,XII,1.4733848617526297,14.326371000458204,XXZ,1.4329307931654505,16.67867348002712
bloodmnist_seed50_after,50,after,1.9487915405709326,63,YYY,1.8483863103887077,5.152179085958545,YZX,1.7546955409959606,9.959813327089268,YIX,1.6641565006307475,14.605720212475692
bloodmnist_seed51_before,51,before,1.623812112639318,63,YXI,1.5727010683206206,3.147595951579781,YXZ,1.5199550878578647,6.39587695972077,IYI,1.4750561568853477,9.160909356205297
bloodmnist_seed51_after,51,after,1.6218054881150485,63,XIX,1.4951579663747865,7.809045083911929,YZY,1.4535266215192892,10.376020295216922,YZI,1.4194301811814003,12.478395739606231
