seed,R_manifold_before,j_flipped,static_recovery,adaptive_recovery
42,0.7083799155862194,True,0.017057159286917516,0.5248640612628381
43,0.6676480631822769,True,0.048995617498669854,0.2623071079915885
44,0.6246617310379452,True,0.2569356633352425,0.35101281566022946
45,0.6408777817699376,True,0.16689073181532793,0.18713467901357586
46,0.6031255333877522,True,0.025290093775506832,0.1273398675047479
47,0.5671316594834099,True,0.9357932815720329,0.1638226183524564
48,0.6746376256527337,True,0.08764072103801177,0.24280088476130116
49,0.6357441869637049,True,0.03048943925818148,0.16312960037572993
50,0.6654053935842583,True,0.4316227021852528,0.3395248072822944
51,0.5994265067793394,True,0.5916471942105058,0.47917433231658346
