seed,scale,sigma,delta,delta_J,threshold,eta,valid
42,0.05,0.49470867869504415,0.03860432327391093,0.0570797305986899,0.00337606254579859,16.907189906692913,False
42,0.15,0.49470867869504415,0.03860432327391093,0.1678903368154349,0.00337606254579859,49.72962868367751,False
42,0.3,0.49470867869504415,0.03860432327391093,0.31336033402380303,0.00337606254579859,92.81828454682237,False
42,0.6,0.49470867869504415,0.03860432327391093,0.4985996606829221,0.00337606254579859,147.68673681813587,False
42,1.0,0.49470867869504415,0.03860432327391093,0.5713762002570758,0.00337606254579859,169.24336931142955,False
43,0.05,0.4830680288923507,0.026315930313731847,0.06073379349950889,0.002247253336297935,27.025788556425113,False
43,0.15,0.4830680288923507,0.026315930313731847,0.17982901358162037,0.002247253336297935,80.02169167000365,False
43,0.3,0.4830680288923507,0.026315930313731847,0.34317135651519803,0.002247253336297935,152.70701837316184,False
43,0.6,0.4830680288923507,0.026315930313731847,0.5705806993832881,0.002247253336297935,253.90136935929416,False
43,1.0,0.4830680288923507,0.026315930313731847,0.6591635003693459,0.002247253336297935,293.3196225465324,False
44,0.05,0.49341304901862554,0.0355940015029949,0.06449039682428466,0.0031046486322220935,20.77220467236155,False
44,0.15,0.49341304901862554,0.0355940015029949,0.18860824286151648,0.0031046486322220935,60.75027006406316,False
44,0.3,0.49341304901862554,0.0355940015029949,0.3483207292043073,0.0031046486322220935,112.19328512386386,False
44,0.6,0.49341304901862554,0.0355940015029949,0.5238755465952034,0.0031046486322220935,168.73907763927843,False
44,1.0,0.49341304901862554,0.0355940015029949,0.5487048501183445,0.0031046486322220935,176.73653772717572,False
45,0.05,0.45277155390407253,0.037487282658447314,0.06526582295904641,0.003000461824242594,21.751925797463343,False
45,0.15,0.45277155390407253,0.037487282658447314,0.18870938745330232,0.003000461824242594,62.8934472448881,False
45,0.3,0.45277155390407253,0.037487282658447314,0.3421107638120244,0.003000461824242594,114.01936896776992,False
45,0.6,0.45277155390407253,0.037487282658447314,0.5040722663224115,0.003000461824242594,167.99822688950704,False
45,1.0,0.45277155390407253,0.037487282658447314,0.5545553105859694,0.003000461824242594,184.82331823233767,False
46,0.05,0.45547493876007505,0.034025744645420276,0.05164229682759483,0.002739662942531966,18.84987237877795,False
46,0.15,0.45547493876007505,0.034025744645420276,0.15286843624434374,0.002739662942531966,55.798264038664705,False
46,0.3,0.45547493876007505,0.034025744645420276,0.29257186551649783,0.002739662942531966,106.79118988487912,False
46,0.6,0.45547493876007505,0.034025744645420276,0.4983635717053753,0.002739662942531966,181.90689225616683,False
46,1.0,0.45547493876007505,0.034025744645420276,0.6147206782599048,0.002739662942531966,224.37821409220027,False
47,0.05,0.47158892365147853,0.023338196394888717,0.07218662785883848,0.0019456104810938015,37.10230211046968,False
47,0.15,0.47158892365147853,0.023338196394888717,0.21116652967134925,0.0019456104810938015,108.53484380523777,False
47,0.3,0.47158892365147853,0.023338196394888717,0.3906933216705706,0.0019456104810938015,200.80757452073703,False
47,0.6,0.47158892365147853,0.023338196394888717,0.6067070048510466,0.0019456104810938015,311.8337461411918,False
47,1.0,0.47158892365147853,0.023338196394888717,0.6484332249405369,0.0019456104810938015,333.28008419033324,False
48,0.05,0.44513147514352275,0.0254971237861542,0.07667583503617709,0.0020063398882632123,38.21677248442262,False
48,0.15,0.44513147514352275,0.0254971237861542,0.22421859644791267,0.0020063398882632123,111.75504098760028,False
48,0.3,0.44513147514352275,0.0254971237861542,0.40955359350000364,0.0020063398882632123,204.12971695166448,False
48,0.6,0.44513147514352275,0.0254971237861542,0.585064065916652,0.0020063398882632123,291.60765298999894,False
48,1.0,0.44513147514352275,0.0254971237861542,0.5987144322635272,0.0020063398882632123,298.4112690805366,False
49,0.05,0.49794813693919715,0.021785747718201066,0.06715429053696276,0.0019177040824552003,35.01806725622985,False
49,0.15,0.49794813693919715,0.021785747718201066,0.19544261584051115,0.0019177040824552003,101.91489793894043,False
49,0.3,0.49794813693919715,0.021785747718201066,0.3584123588484771,0.0019177040824552003,186.8965927160193,False
49,0.6,0.49794813693919715,0.021785747718201066,0.5841368955826776,0.0019177040824552003,304.6022068403891,False
49,1.0,0.49794813693919715,0.021785747718201066,0.6170324478788383,0.0019177040824552003,321.7558191193207,False
50,0.05,0.45801825237671523,0.033737063823662525,0.04475114032652413,0.0027315872623414716,16.382833872260843,False
50,0.15,0.45801825237671523,0.033737063823662525,0.1330359293523474,0.0027315872623414716,48.70279312926331,False
50,0.3,0.45801825237671523,0.033737063823662525,0.25718531046529186,0.0027315872623414716,94.15233187346058,False
50,0.6,0.45801825237671523,0.033737063823662525,0.4496736302649316,0.0027315872623414716,164.61990303742988,False
50,1.0,0.45801825237671523,0.033737063823662525,0.5629889663140224,0.0027315872623414716,206.10323311854864,False
51,0.05,0.4665881538258756,0.02950785097344528,0.05093258769412064,0.002433863964287992,20.926637002500083,False
51,0.15,0.4665881538258756,0.02950785097344528,0.15060116343067878,0.002433863964287992,61.87739563116297,False
51,0.3,0.4665881538258756,0.02950785097344528,0.28781234371841413,0.002433863964287992,118.25325816950965,False
51,0.6,0.4665881538258756,0.02950785097344528,0.4900395062508532,0.002433863964287992,201.34219226759885,False
51,1.0,0.4665881538258756,0.02950785097344528,0.6039822989064072,0.002433863964287992,248.1577885077474,False
