score,condition,auc_point,boot_median,boot_lo,boot_hi,tpr_at_1pct,tpr_at_5pct
score_manifold,z_only,1.0,1.0,0.9999999999999999,1.0,,
score_manifold,zz_scale_0.05,0.5704888888888888,0.5699111111111111,0.527241111111111,0.6040455555555555,,
score_manifold,zz_scale_0.15,0.861688888888889,0.8609111111111112,0.8036311111111111,0.9109344444444445,,
score_manifold,zz_scale_0.3,0.9810222222222221,0.9819111111111112,0.9548866666666666,0.9989333333333332,,
score_manifold,zz_scale_0.6,0.9999555555555555,1.0,0.9997766666666668,1.0,,
score_manifold,zz_scale_1.0,1.0,1.0,0.9999999999999999,1.0,,
score_manifold,pooled,0.9021925925925925,0.9023296296296297,0.8867103703703704,0.913726851851852,0.7,0.7388888888888889
score_naive_offdiag,z_only,0.9985333333333334,0.9990666666666667,0.9947555555555556,1.0,,
score_naive_offdiag,zz_scale_0.05,0.49764444444444444,0.49944444444444447,0.4568888888888889,0.5281822222222223,,
score_naive_offdiag,zz_scale_0.15,0.6185333333333333,0.6262000000000001,0.5922633333333334,0.6816455555555555,,
score_naive_offdiag,zz_scale_0.3,0.8276,0.836488888888889,0.77133,0.9106288888888888,,
score_naive_offdiag,zz_scale_0.6,0.9972444444444444,0.9977333333333334,0.9930222222222223,1.0,,
score_naive_offdiag,zz_scale_1.0,1.0,1.0,0.9999999999999999,1.0,,
score_naive_offdiag,pooled,0.8232592592592594,0.826448148148148,0.8067372222222221,0.8491044444444446,0.5211111111111111,0.5744444444444444
score_trace_distance,z_only,1.0,1.0,0.9999999999999999,1.0,,
score_trace_distance,zz_scale_0.05,0.5909777777777778,0.5940222222222222,0.5178966666666668,0.6588933333333333,,
score_trace_distance,zz_scale_0.15,0.9463555555555556,0.9481111111111111,0.8996855555555555,0.9832944444444445,,
score_trace_distance,zz_scale_0.3,1.0,1.0,0.9999999999999999,1.0,,
score_trace_distance,zz_scale_0.6,1.0,1.0,0.9999999999999999,1.0,,
score_trace_distance,zz_scale_1.0,1.0,1.0,0.9999999999999999,1.0,,
score_trace_distance,pooled,0.9228888888888889,0.923274074074074,0.9039814814814815,0.9385433333333334,0.7577777777777778,0.7944444444444444
