seed,target_norm,baseline_drift,optimized_drift,baseline_static_recovery,optimized_static_recovery,baseline_j_flipped,optimized_j_flipped
42,1.9361583115838399,5.199936245972753,3.952410926611186,0.004493009765514107,0.01747604745057194,True,True
43,1.8086510981397885,5.717556773418244,3.97259183021279,0.03449994395164788,0.0032193888103009467,True,True
44,1.7896757815174655,5.395838318147293,4.398844514901745,0.003242894044313632,0.006085038043468527,True,True
45,2.287461659112793,5.97222238359286,3.8390067802623746,0.06898681165503813,0.03841174152933219,True,True
46,1.4444311233198066,5.920430873104481,3.376825911645198,0.3681077095005934,0.38958232398915965,True,True
47,2.0262772429903504,5.688047945503683,3.329994476202837,0.5899591220448464,0.018102992098085628,True,True
48,2.0689027528288406,6.477501162064272,3.7842693314217795,0.09843702947106264,0.13653405396545967,True,True
49,2.168653747683759,5.117554581318725,4.024067163588379,0.13178675865493356,0.03210053518124699,True,True
50,1.4021101843105586,5.485899624531085,3.927506972443431,0.4015549560931487,0.0006205838930646899,True,True
51,1.6322150742117623,4.791604222847587,3.552990708277614,1.0,0.0050765021059456196,False,True
