seed,j_star_before,j_star_after,same_j_star,cos_r_DC_before_after,baseline_after,clean_calibrated,oracle_after,clean_recovery_fraction
42,YI,XZ,False,-0.08692405581072744,2.021441653103231,2.013574229408029,1.6293755667584182,0.020066575430047397
43,XZ,IY,False,-0.6528992819300079,1.3354636984166106,1.2296263152259477,1.0693370890469123,0.3976956060174935
44,XX,IX,False,-0.2365111858758004,1.9354993085140533,1.7280806878229167,1.6572670315823979,0.7454872704869054
45,ZY,YX,False,-0.2106441582244397,1.2807106152963506,1.143727035057221,1.141945725568548,0.9871631109845773
46,IY,XX,False,0.1340972760047946,1.8506289594664616,1.8503643711604008,1.4905228201713538,0.0007347508892203785
47,XZ,ZY,False,0.09023968817907492,1.2684299095022054,1.2316650052286031,0.8822381717250144,0.09519857800482863
48,XZ,ZY,False,0.21398652706535692,1.4862536003705418,1.485837704566704,1.1615804354175563,0.0012809675967462638
49,YX,XZ,False,0.17733449691770808,1.207716732502342,1.1897330919501474,0.9390086862939155,0.06692631949787343
50,YZ,YZ,True,0.5474276333334651,1.2137742805946101,1.0002487705894185,1.0002487705894185,1.0
51,XI,XX,False,-0.23854864337565787,1.5671258986316485,1.498948426673107,1.2070316778303611,0.18933231365622008
