seed,n_pilot,recovery_a_oracle,recovery_b_pilot_noise_only,recovery_c_geometry_mismatch_only,recovery_d_realistic_adaptive
42,10000,1.0,0.22026967717624304,0.7699481833315136,0.09475423387572586
42,100000,1.0,0.4183327264684428,0.7699481833315136,0.20357897748203557
42,1000000,1.0,0.8129573274724455,0.7699481833315136,0.5485157438689433
42,10000000,1.0,0.9577734574292931,0.7699481833315136,0.7459455314257671
43,10000,1.0,0.14393945515762904,0.4543196079017661,0.11106339127828271
43,100000,1.0,0.28211509694312414,0.4543196079017661,0.13630538088115302
43,1000000,1.0,0.648091047414134,0.4543196079017661,0.2982421316269555
43,10000000,1.0,0.9234017527588995,0.4543196079017661,0.26053568004810385
44,10000,1.0,0.19129419285057375,0.04319320593572332,0.18430641124158267
44,100000,1.0,0.45350494274457526,0.04319320593572332,0.07579747914965504
44,1000000,1.0,0.6034844077793433,0.04319320593572332,0.076886837092262
44,10000000,1.0,0.9268299937102883,0.04319320593572332,0.0464010878217747
45,10000,1.0,0.1640171791495849,0.11496658552683504,0.12338752130887225
45,100000,1.0,0.43014168383442497,0.11496658552683504,0.2594578140105865
45,1000000,1.0,0.7578422826796999,0.11496658552683504,0.12637073682888822
45,10000000,1.0,0.9574937268571697,0.11496658552683504,0.11645248527424375
46,10000,1.0,0.26639497557485414,0.07941296662155527,0.12435969897284964
46,100000,1.0,0.3311309435063542,0.07941296662155527,0.15505808545057978
46,1000000,1.0,0.687084303723406,0.07941296662155527,0.1857560737382629
46,10000000,1.0,0.8607163527810281,0.07941296662155527,0.07941296662155527
47,10000,1.0,0.2455969207517077,0.0012303076722928142,0.1180148947081262
47,100000,1.0,0.36751060772675925,0.0012303076722928142,0.22561245127619908
47,1000000,1.0,0.7549279626042237,0.0012303076722928142,0.031745905303129235
47,10000000,1.0,0.9357025161892167,0.0012303076722928142,0.004025246852083734
48,10000,1.0,0.17539570407788707,0.011742169150528427,0.1325281192211972
48,100000,1.0,0.3673083930042169,0.011742169150528427,0.2396331590731197
48,1000000,1.0,0.5912994625345995,0.011742169150528427,0.20457205682609594
48,10000000,1.0,0.9208813259827862,0.011742169150528427,0.21008793481370286
49,10000,1.0,0.15654456328098199,0.1863236767247911,0.19284543404085136
49,100000,1.0,0.26871065090795626,0.1863236767247911,0.1341839111890659
49,1000000,1.0,0.6821759235065336,0.1863236767247911,0.1619428184855463
49,10000000,1.0,0.9290462146920161,0.1863236767247911,0.1510523283673871
50,10000,1.0,0.23361204002373492,0.4598553290589732,0.19962678292865216
50,100000,1.0,0.47911563618693914,0.4598553290589732,0.2905422820635973
50,1000000,1.0,0.7879984434977072,0.4598553290589732,0.29786437621873213
50,10000000,1.0,0.9323637876195049,0.4598553290589732,0.26615667791229314
51,10000,1.0,0.1600283145120857,0.43265641935246957,0.10556926934565128
51,100000,1.0,0.28122841422737255,0.43265641935246957,0.32313530058497764
51,1000000,1.0,0.5714617214730618,0.43265641935246957,0.2362754377635961
51,10000000,1.0,0.8644956966288924,0.43265641935246957,0.36907034392049465
